ID,Description_lang,Title_lang
24,Bring Brewmaster Bo to the Unga Ingoo Brewing Cauldron.,Escort Brewmaster Bo
25,Bring 200 Unga Jungle Brew to the Brewing Cauldron.,Fill the Brewing Cauldron
26,Defeat Captain Ook.,Defeat Captain Ook
114,Defeat the corrupted Shado-Pan Leader.,End the Terror
115,Delve deeper into the crypt and search the bottom level.,Search the Crypt
116,Defeat the monsters attacking the Greenstone villagers.,Rescue the Villagers
117,Defeat Vengeful Hui.,Defeat Vengeful Hui
118,Find burgled brew barrels in the forest and return them to the village dojo.,Recover Burgled Barrels
123,Defeat the Sha corrupted forces inside the Temple of the Jade Serpent.,Temple of the Jade Serpent
124,Defeat the forces creating chaos within the Stormstout Brewery.,Stormstout Brewery
125,Defeat the forces opposing you within the Shado-Pan Monastery.,Shado-Pan Monastery
127,Defeat the Mantid forces assaulting the Gate of the Setting Sun.,Gate of the Setting Sun
128,Defeat the Mantid forces sieging the Niuzao Temple.,Siege of Niuzao Temple
129,,Mogu'shan Palace
130,Defeat the necromantic forces within Scholomance.,Scholomance
131,Defeat the forces of the Scarlet Crusade.,Scarlet Halls
132,Travel to the Masons' Quarter and awaken the unconscious villagers.,Rescue Greenstone Masons
133,Defeat the forces of the Scarlet Crusade inside their monastery.,Scarlet Monastery
138,"Summon and defeat the mighty dragon turtle, Scar-Shell.",Scar-Shell
139,"Summon and defeat the grummle-eating, snow-stalking horror, Jol'Grum.",Jol'Grum
140,"Summon and defeat the playful fire spirit, Liuyang.",Little Liuyang
141,"Summon and defeat the wandering yaungol warrior, Chagan Firehoof.",Chagan Firehoof
142,Summon and defeat the final challenger and then claim your reward from Wodin!,Defeat the Final Challenger!
154,Help Brewmaster Boof's assistants gather the ingredients for the Kun-Lai Kicker.,The Brewmoon Festival!
155,Stop the Bataari invasion on Binan Village.,The Yaungol attack!
156,Defeat Warbringer Qobi.,Warbringer Qobi
157,Investigate the Yaungol sightings.,The Scouts Report.
159,Assist Blanche in brewing her famous Boomer's Brew.,Make Boomer's Brew
160,Escort Blanche down Thunderpaw Road.,Road to Thunderpaw
161,Defeat Borokhula the Destroyer.,Save Thunderpaw Refuge
166,Destroy the Abomination of Anger.,Destroy the Sha
167,"Defeat General Zhun, Herald of the Thunder King.",Kill General Zhun
171,Rescue the captured Golden Lotus expedition.,Rescue the Golden Lotus
172,Stop Lorewalker Fu's execution.,Stop the Execution
173,Defeat the defenders of the four ancient Mogu artifacts.,Capture the Artifacts
174,[PH] Defeat the three masters.,[PH] Defeat Masters
175,Fight past the enemy into the heart of ruined Theramore.,Into the Ruins
179,Slay Alliance captains and rig powder barrels on all ships.,To the Waterline!
180,Inform Blastmaster Sparkfuse of your success.,The Blastmaster
181,Slay Baldruc and his gryphons.,"Gryphon, Down"
182,Destroy Big Bessa and sabotage any unmanned tanks.,Tanks for Nothing!
183,Slay Hedric Evencane and free Thalen Songweaver from Foothold Citadel.,"Fly, Spy!"
185,Destroy the siege engine at the west gate and recover the stolen standards.,Destroy the Destroyer
186,Protect Jaina while she attunes to the Focusing Iris.,The Last Stand
193,Defend the ship from oncoming Horde.,Welcome to Theramore
