ID,String_lang
740,"Requires achievement ""An Azure Ally."""
741,"Requires achievement ""Cliffside Companion."""
742,"Requires achievement ""Together in the Skies."""
743,"Requires achievement ""A New Friend."""
910,|cff808080This talent is granted to your specialization for free and can't be unlearned|r
911,Spend %d more |4point:points; to unlock this talent
953,Classic
954,Outland
955,Northrend
956,Cataclysm
957,Pandaria
958,Draenor
959,Legion
960,Kul Tiran
961,Shadowlands
962,Dragon Isles
963,Zandalari
970,Explorer
971,Adventurer
972,Veteran
973,Champion
974,Hero
975,Recrafting this item with a higher item level Spark will permanently remove the socket added by the Storm-Charged Manipulator.|n|nAre you sure you want to continue?
976,Spend %d more |4point:points; to unlock this talent
977,|cff808080This talent is granted to your specialization for free and can't be unlearned|r
978,Myth
989,Khaz Algar
990,Adventurer
991,Recrafting this item with a higher item level Spark will permanently remove the socket added by the Volcanic Sculptor.|n|nAre you sure you want to continue?
992,Tab 1
993,Tab 2
994,Tab 3
995,Tab 4
996,Tab 5
997,Recrafting this item with a higher item level Spark will permanently remove the socket added by the Nature's Cradle.|n|nAre you sure you want to continue?
998,Awakened
999,%s
1000,
1001,"The General must consider you a ""Accessory."""
1002,"The Weaver must consider you an ""Acquaintance."""
1003,"The Weaver must consider you a ""Crony."""
1004,"The Weaver must consider you an ""Accomplice."""
1005,"The General must consider you a ""Collaborator."""
1006,"The General must consider you an ""Abettor."""
1007,"The General must consider you a ""Conspirator."""
1008,"The Weaver must consider you a ""Mastermind."""
1009,"The General must consider you an ""Acquaintance."""
1010,"The General must consider you a ""Crony."""
1011,"The General must consider you an ""Accomplice."""
1012,"The Weaver must consider you a ""Collaborator."""
1013,"The Weaver must consider you a ""Accessory."""
1014,"The Weaver must consider you an ""Abettor."""
1015,"The Weaver must consider you a ""Conspirator."""
1016,"The Vizier must consider you an ""Acquaintance."""
1017,"The Vizier must consider you a ""Crony."""
1018,"The Vizier must consider you an ""Accomplice."""
1019,"The Vizier must consider you a ""Collaborator."""
1020,"The Vizier must consider you a ""Accessory."""
1021,"The Vizier must consider you an ""Abettor."""
1022,"The Vizier must consider you a ""Conspirator."""
1023,"The Vizier must consider you a ""Mastermind."""
1024,"The General must consider you a ""Mastermind."""
