ID,EffectDescription_lang,AuraDescription_lang
1,Inflicts $s@effectindex Physical damage to an enemy.,
2,Inflicts $s@effectindex Holy damage to an enemy.,
3,Inflicts $s@effectindex Fire damage to an enemy.,
4,Inflicts $s@effectindex Nature damage to an enemy.,
5,Inflicts $s@effectindex Frost damage to an enemy.,
6,Inflicts $s@effectindex Shadow damage to an enemy.,
7,Inflicts $s@effectindex Arcane damage to an enemy.,
8,Inflicts $s@effectindex Chaos damage to an enemy.,
9,Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards of the impact.,
10,Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards of the impact.,
11,Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards of the impact.,
12,Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards of the impact.,
13,Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards of the impact.,
14,Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards of the impact.,
15,Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards of the impact.,
16,Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards of the impact.,
17,Inflicts $s@effectindex Physical damage to enemies within $A@effectindex yards.,
18,Inflicts $s@effectindex Holy damage to enemies within $A@effectindex yards.,
19,Inflicts $s@effectindex Fire damage to enemies within $A@effectindex yards.,
20,Inflicts $s@effectindex Nature damage to enemies within $A@effectindex yards.,
21,Inflicts $s@effectindex Frost damage to enemies within $A@effectindex yards.,
22,Inflicts $s@effectindex Shadow damage to enemies within $A@effectindex yards.,
23,Inflicts $s@effectindex Arcane damage to enemies within $A@effectindex yards.,
24,Inflicts $s@effectindex Chaos damage to enemies within $A@effectindex yards.,
25,Inflicts $s@effectindex Physical damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Physical damage inflicted every $t@effectindex sec.
26,Inflicts $s@effectindex Holy damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Holy damage inflicted every $t@effectindex sec.
27,Inflicts $s@effectindex Fire damage to an enemy every $t@effectindex sec for $d.,$s@effectindex Fire damage inflicted every $t@effectindex sec.
