ID,DisplayName_lang,DisplayNameShort_lang
1,Self Only,Self
2,Combat Range,Combat
3,Twenty yards,Short
4,Medium Range,Medium
5,Long Range,Long
6,Vision Range (AOI),Vision
7,Ten yards,Very Short
8,"Min Range 10, 20",Short
9,Medium Range,Medium
10,10-40,Long
11,Fifteen yards,Shorter
12,Interact Range,Interact
13,Anywhere - Unlimited,Anywhere - Unlimited
14,Extra Long Range,Extra Long
34,Twenty-Five yards,Medium-Short
35,Medium-Long,Medium-Long
36,Longer Range,Longer
37,Extended Range,Extended
38,"Min-Range 10, 25",Extra Medium
54,Monster Shoot,Monster Shoot Range
74,Ranged Weapon,Ranged
94,Sting,Sting
95,Charge,Charge
96,Trap,Trap
114,Hunter Range,Hunter
134,Tower 80,Tower
135,Tower 100,Tower
136,Thirty-to-80,Thirty-to-80
137,Eight yards,Shorter
139,Long Range Hunter Shoot,Hunter Long
140,Six yards,Six yards
141,Seven yards,Seven yards
150,Quest - Valgarde 8/100,Quest - Valgarde
151,Long Range Hunter Shoot,Hunter 45
152,Super Long,Super Long
153,"Charge, 60",Huge Charge
154,"Tower 80, 10",Tower 10
155,Hunter Range (Long),Hunter (Long)
156,Boulder Range,Boulder
157,Ninety,Ninety
158,"Super Long, 15 Min",Super Long
160,Medium/Long Range,Medium/Long
161,Short/Long Range,Short/Long
162,Medium/Short Range,Medium/Short
163,Death Grip,Death Grip
164,Catapult Range,Catapult
165,Fourteen yards,Shorter
166,Thirteen yards,Shorter
167,"Min Range 70, 150",70-150
168,Medium-Long Range (38),Medium-Long
169,Three Yards,Three Yards
170,Fifty Five Yards,Extended
171,"Min Range 1, 10",Very Short
172,Eleven yards,Shorter
173,Anywhere (Combat Min Range),Hunter Long
174,One Thousand Yards,1000 Yards
176,Seventy yards,Extended
177,Donut 20-40,Donut 20-40
178,Forty-to-80,Forty-to-80
179,"Min Range 5, 15",Shorter
180,Tournament - Ranged,Argent Tournament - Ranged
181,Two-Hundred Yard Range,200
182,Fifty-to-100,Fifty-to-100
184,"Min Range 5, 25",Medium
186,Nine yards,Very Short
187,Three Hundred Yards,300
188,"Min Range 5, 60",Five-to-60
190,"Min Range, 20, 40",Long
191,Fifty-Seven Yards,Fifty-Seven Yards
192,20-to-100,20-to-100
193,"Tower 80, 5",Tower 5
195,Fourty-One Yards,41
196,10-to-100,10-to-100
197,"Long Range (Hunter, Hardcoded Min Range, Don't Use)",Long
198,Twenty Yards,Hunter (Short)
199,Three-hundred (Min 100),300 (Min 100)
200,70-to-90,70-to-90
201,Thirty-to-50,Thirty-to-50
202,"10-40 Hostile, 0-40 Friendly","10-40 Hostile, 0-40 Friendly"
203,"Min Range 5, 10",Shorter
