ID,Name_lang
1,Cat Form
2,Tree of Life Form
3,Travel Form
4,Aquatic Form
5,Bear Form
6,Ambient
7,Ghoul
8,Dire Bear Form
9,Crane Stance
10,Tharon'ja Skeleton
11,Darkmoon - Test of Strength
12,BLB Player
13,Shadow Dance
14,Creature - Bear
15,Creature - Cat
16,Ghost Wolf
17,Battle Stance
18,Defensive Stance
19,Berserker Stance
20,Serpent Stance
21,Zombie
22,Metamorphosis
23,Ox Stance
24,Tiger Stance
25,Undead
26,Frenzy
27,"Flight Form, Epic"
28,Shadowform
29,Flight Form
30,Stealth
31,Moonkin Form
32,Spirit of Redemption
33,Gladiator Stance
34,Metamorphosis
35,Moonkin Form
36,Treant Form
37,Spirit Owl Form
38,Spirit Owl Form
39,Wisp Form
40,Wisp Form
41,Soulshape
42,Forgeborne Reveries
43,Human Form
44,"Xuen, the White Tiger"
45,"Yu'lon, the Jade Serpent"
46,"Chi-ji, the Red Crane"
47,Dragon Isles Drake
48,Ghost Wolf
49,"Niuzao, the Black Ox"
50,zzReuseMe
51,zzReuseMe
52,zzReuseMe
53,zzReuseMe
54,zzReuseMe
55,zzReuseMe
56,zzReuseMe
57,zzReuseMe
58,zzReuseMe
59,zzReuseMe
60,zzReuseMe
61,zzReuseMe
62,zzReuseMe
63,zzReuseMe
64,zzReuseMe
