ID,Name_lang
1,Skinning Knife (OLD)
2,Earth Totem
3,Air Totem
4,Fire Totem
5,Water Totem
6,Runed Enchanting Rod
7,Runed Enchanting Rod
8,Runed Enchanting Rod
9,Runed Enchanting Rod
10,Runed Enchanting Rod
11,Mining Pick (OLD)
12,Philosopher's Stone
13,Blacksmith Hammer (OLD)
14,Arclight Spanner
15,Gyromatic Micro-Adjustor
21,Master Totem
41,Runed Enchanting Rod
62,Runed Enchanting Rod
63,Runed Enchanting Rod
81,Hollow Quill
101,Runed Enchanting Rod
121,Virtuoso Inking Set
141,Drums
161,Gnomish Army Knife
162,Blacksmith Hammer
165,Mining Pick
166,Skinning Knife
167,Hammer Pick
168,Bladed Pickaxe
169,Flint and Tinder
189,Runed Enchanting Rod
190,Runed Enchanting Rod
209,Runed Enchanting Rod
210,High-Powered Bolt Gun
230,Runed Enchanting Rod
238,Jeweler's Tools
250,Ultimate Gnomish Army Knife
253,Sanguine Feather Quill of Lana'thel
354,Ub3r-Spanner
355,Void Focus
356,Empowered Void Focus
357,Unleashed Void Focus
358,Mastercraft
359,Virtuoso Engraving Set
362,Engineering Multitool
