ID,Name_lang,HordeName_lang
58,Holiday Cooking,
59,Wintersveil,
63,Everyday Cooking,
64,Way of the Grill,
65,Way of the Wok,
66,Way of the Pot,
67,Way of the Steamer,
68,Way of the Oven,
69,Way of the Brew,
70,Unusual Delights,
72,Old World Recipes,
73,Outlandish Dishes,
74,Recipes of the Cold North,
75,Cataclysm Recipes,
76,Basic,
84,Other,
90,Pandaren Cuisine,
91,Glyphs,
92,Glyph - Mage,
93,Glyph - Priest,
94,Glyph - Warlock,
95,Glyph - Druid,
96,Glyph - Monk,
97,Glyph - Rogue,
98,Glyph - Hunter,
99,Glyph - Shaman,
100,Glyph - Paladin,
101,Glyph - Warrior,
102,Staves & Wands,
103,Off-hand,
104,Ink,
105,Clear Mind,
106,Card,
107,Scrolls,
108,Research,
113,Glyph,
114,Other,
115,Quest,
116,Crafts,
117,Teleportation,
118,Material,
119,Shoulder Inscription,
127,Self-Only,
128,Bind on Equip,
130,Bind on Use,
131,Bind on Pick Up,
150,Bandages,
151,Antidotes,
164,Blue Gems,
165,Fist Weapons,
166,Green Gems,
167,Crowns & Accessories,
168,Materials,
169,Meta Gems,
170,Mounts,
171,Necklaces,
172,Orange Gems,
173,Prismatic Gems,
174,Purple Gems,
175,Red Gems,
176,Rings,
177,Prisms,
178,Statues,
179,Pets and Projects,
180,Trinkets,
181,Yellow Gems,
182,Tinkers,
183,Parts,
184,Explosives,
185,Goggles,
186,"Armor, Wearable",
187,"Armor, Trinkets",
188,Devices,
189,Guns & Bows,
190,Scopes,
191,Tools,
192,Mounts,
193,Cogwheels,
194,Fireworks,
195,Fishing,
196,Robotics,
197,Travel,
198,Belt,
199,Gloves,
200,Cloak,
201,Lethal,
202,Consumable,
203,Utility,
204,Powered Armor,
210,Runes,
214,Research,
215,Materials,
216,Weapon Mods,
217,Armor Mods,
218,Helms,
219,Shoulders,
220,Chest,
221,Gauntlets,
222,Bracers,
223,Belts,
224,Legs,
225,Boots,
226,Shields,
227,Weapons,
228,Skeleton Keys,
229,Socket,
230,Materials,
231,Embroidery,
232,Spellthreads,
233,Bags,
234,Hats & Hoods,
235,Shoulders,
236,Robes & Tunics,
237,Bracers,
238,Belts,
239,Gloves,
240,Pants,
241,Boots,
242,Cloaks,
243,Shirts,
244,Mounts,
245,Nets,
246,Special,
247,Materials,
248,Embossments,
249,Armor Kits,
250,Bags,
251,Helms,
252,Shoulders,
253,Chest,
254,Bracers,
255,Gloves,
256,Belts,
257,Pants,
258,Boots,
259,Cloaks,
260,Special,
261,Drums,
264,Smelting,
265,Elemental,
296,Research,
297,Training Projects,
332,Draenor Alchemy,
333,Reagents and Research,
334,Flasks,
335,Potions and Elixirs,
336,Trinkets and Trinket Upgrades,
342,Food of Draenor,
343,Meat Dishes,
344,Fish Dishes,
345,Feasts,
346,Delicacies,
347,Draenor Engineering,
348,Draenor Enchanting,
349,Cloak,
350,Neck,
351,Ring,
352,Weapon,
354,Other,
361,Item Enhancers,
362,Tailoring Patterns,
363,Armor,
364,Dyes and Thread,
365,Bags,
366,Reagents and Research,
367,Other,
368,Cloaks,
369,Draenor Patterns,
372,Jewelcrafting Designs,
373,Draenor Designs,
374,Reagents and Research,
375,Jewelry Enhancers,
376,Jewelry,
377,Gems,
378,Other,
379,Leatherworking Patterns,
380,Draenor Patterns,
381,Reagents and Research,
382,Leather Armor,
383,Mail Armor,
384,Armor Enhancers,
385,Cloaks,
386,Bags,
388,Other,
389,Draenor Plans,
390,Reagents and Research,
391,Item Enhancers,
392,Armor,
393,Weapons and Shields,
394,Other,
396,Cures of Draenor,
397,Old Remedies,
399,Illusions,
400,Battle Standards,
401,Other,
402,Tents,
403,Merchant Orders,
407,Reagents and Research,
408,Consumable Gizmos,
409,Reagents and Research,
410,Draenor Inscription,
411,Staves & Wands,
412,Card,
413,Off-hand,
414,Reagents and Research,
415,Classic Inscription,
416,Goggles,
417,Robotics,
418,Devices,
419,Engineering,
420,Tools,
423,Transmutation,
424,Training,
425,Legion Mining,
426,Legion Plans,
427,Armor,
428,Other,
429,Reagents,
430,Legion Patterns,
431,Cloaks,
432,Training,
433,Broken Isles Alchemy,
434,Combat Potions,
435,Flasks,
436,Transmutation,
437,Utility Potions,
438,Trinkets,
439,Cauldrons,
440,Mass Milling,
443,Legion Enchanting,
444,Neck Enchantments,
445,Ring Enchantments,
446,Cloak Enchantments,
447,Shoulder Enchantments,
448,Glove Enchantments,
449,"Toys, Pets, and Mounts",
450,Legion Inscription,
451,Cards,
453,Vantus Runes,
454,Books & Scrolls,
455,Glyph - Demon Hunter,
456,Legion Herbalism,
459,Legion Skinning,
460,Legion Patterns,
461,Leather Armor,
462,Mail Armor,
463,Other,
464,Legion Designs,
465,Rings,
466,Gems,
467,Other,
468,Basic Training,
469,Legion Engineering,
470,Goggles,
471,Combat Tools,
472,Devices,
473,"Toys, Pets, and Doohickeys",
474,Robotics,
475,Food of the Broken Isles,
476,Snacks,
