ID,OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang
10579,,,
10612,,,
10644,,,
10647,,,
10650,,,
10687,,,
10700,,,
10705,,,
11049,,,
11149,,,
24833,,,Multicraft grants up to $ev1% extra potions.
24834,,,+$ev1 $en1 when crafting potions.
24835,,,Learn $@spellname370668.
24836,,,+$ev1% $en1 when making potions.
24837,,,+$ev1 $en1 when crafting potions.
24838,Batch Production,,"Master the art of producing potions more efficiently, gaining +$ev1 $en1 per point in this specialization."
24839,,,Learn $@spellname370745 which yields potions of a higher quality and increases your chance at discovering new recipes.
24840,,,Gain 5% Breakthrough chance with Potion Experimentation.
24841,,,"Whenever you achieve a major breakthrough in Potion Experimentation, gain +20 Ingenuity for 4 hours for all Alchemy crafts."
24842,,,Gain 5% Breakthrough chance with Potion Experimentation.
24843,,,Gain 10% Breakthrough chance with Potion Experimentation.
24844,Potion Experimentation,,"Gain a better understanding of your reagents to improve the likelihood of your experiments yielding satisfying results, gaining +1% increased chance at breakthroughs with Potion Experimentation per point in this specialization."
24845,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting potion cauldrons and Alacritous Alchemist Stones.
24846,,,Learn the final sub-specialization.
24847,,,+$ev1 $en1 when crafting potions.
24848,,,Learn a sub-specialization of your choice.
24849,,,+$ev1 $en1 when crafting potions.
24850,,,+$ev1 $en1 when crafting potions.
24851,Potion Lore,,"Delve further into the mysteries of potions and related alchemist stones, gaining +$ev1 $en1 per point in this specialization."
24852,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Air-formulated potions.
24853,,,+$ev1 $en1 when crafting Air-formulated potions.
24854,,,+$ev1 $en1 when crafting Air-formulated potions.
24855,,,The movement speed granted by consuming Dragon Isles potions is increased.
24856,,,+$ev1 $en1 when crafting Air-formulated potions.
24857,,,+$ev1 $en1 when crafting Air-formulated potions.
24858,,,Consuming a Dragon Isles potion will grant a brief burst of movement speed.
24859,Air-Formulated Potions,,"Improve at crafting potions with Rousing or Awakened Air as a base reagent, gaining +$ev1 $en1 per point in this specialization."
24860,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Frost-formulated potions.
24861,,,+$ev1 $en1 when crafting Frost-formulated potions.
24862,,,+$ev1 $en1 when crafting Frost-formulated potions.
24863,,,The heal granted by consuming Dragon Isles potions is increased.
24864,,,+$ev1 $en1 when crafting Frost-formulated potions.
24865,,,+$ev1 $en1 when crafting Frost-formulated potions.
24866,,,Consuming a Dragon Isles potion will heal a portion of your health over time.
24867,Frost-Formulated Potions,,"Improve at crafting potions with Rousing or Awakened Frost as a base reagent, gaining +$ev1 $en1 per point in this specialization."
24868,,,Learn the final sub-specialization.|n|nLearn to use Catalyst Finishing Reagents with recipes for potions and the Alacritous Alchemist Stone.
24869,,,+$ev1 $en1 when crafting potions.
24870,,,Learn a sub-specialization of your choice.
24871,,,Reclaiming Potions grants additional Alchemical Solution.
24872,,,Learn a sub-specialization of your choice.
24873,,,+$ev1 $en1 when crafting potions.
24874,,,Non-combat potions last longer.
24875,Potion Mastery,,"Improve at crafting potions and related alchemist stones, gaining +$ev1 $en1 per point in this specialization."
24876,Batch Production,,
24877,Potion Experimentation,,
24878,Potion Lore,,
24879,Air-Formulated Potions,,
24880,Frost-Formulated Potions,,
24881,Potion Mastery,,Specialize in creating potions efficiently and at high qualities.
24882,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Alchemy goods.
24883,,,+$ev1 $en1 when crafting Alchemy goods.
24884,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Alchemy goods.
24885,,,+$ev1 $en1 when crafting Alchemy goods.
24886,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Alchemy goods.
24887,,,+$ev1 $en1 when crafting Alchemy goods.
24888,,,Ingenious breakthroughs refund an additional $ev1% of the Concentration spent crafting Alchemy goods.
24889,Inspiring Ambience,,"Become a more inspired Alchemist, gaining +$ev1 $en1 per point in this Specialization. "
24890,,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.
24891,,,+$ev1 $en1 when crafting Alchemy goods.
24892,,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.
24893,,,+$ev1 $en1 when crafting Alchemy goods.
24894,,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.
24895,,,+$ev1 $en1 when crafting Alchemy goods.
24896,,,Resourcefulness saves $ev1% additional reagents when crafting Alchemy goods.
24897,Resourceful Routines,,"Use reagents more economically, gaining +$ev1 $en1 per point in this Specialization. "
24898,,,Damage taken from the side-effects of drinking Toxic potions and phials is reduced by up to an additional 25%.
24899,,,+$ev1 $en1 when crafting recipes with Decay.
24900,,,Learn how to transmute Awakened Decay into an assortment of Rousing elements.
24901,,,+$ev1 $en1 when crafting recipes with Decay.
24902,,,Damage taken from the side-effects of drinking Toxic potions and phials is reduced by up to 25%.
24903,,,+$ev1 $en1 when crafting recipes with Decay.
24904,,,You can now discover recipes which use Decay as a reagent from Potion and Phial Experimentation.
24905,Decayology,,"Delve further into the mysteries of Rousing and Awakened Decay, gaining +$ev1 $en1 for crafts which use Decay per point in this specialization."
24906,,,Multicraft grants up to $ev1% extra reagents and incenses.
24907,,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting alchemical reagents and incense.
24908,,,+$ev1 $en1 when crafting reagents and incenses.
24909,,,+$ev1 $en1 when crafting reagents and incenses.
24910,,,"Learn how to craft Brood Salt, a Finishing Reagent that improves Ingenuity.|n|n+$ev1% $en1 when making reagents and incenses."
24911,,,+$ev1 $en1 when crafting reagents and incenses.
24912,,,+$ev1 $en1 when crafting reagents and incenses.
24913,,,+$ev1 $en1 when crafting reagents and incenses.
24914,,,+$ev1 $en1 when crafting reagents and incenses.
24915,Chemical Synthesis,,"Improve at specialty recipes such as those for alchemical reagents and incenses, gaining +$ev1 $en1 for these crafts per point in this specialization."
24916,,,"Improve your understanding of transmutation, allowing you to do so more frequently and with higher capacity."
24917,,,+$ev1% $en1 when performing transmutations.
24918,,,Learn how to transmute Awakened Order into its entropic elements.
24919,,,+$ev1% $en1 when performing transmutations.
24920,,,+$ev1% $en1 when performing transmutations.
24921,Transmutation,,"Master the process of transmutation, gaining +$ev1 $en1 for these crafts per point in this specialization."
24922,,,+$ev1 $en1 and +$ev2 $en2 when crafting Alchemy goods.|n|nAlchemical Crafting is $ev3% faster.
24923,,,Learn the final sub-specialization.
24924,,,+$ev1 $en1 when crafting Alchemy goods.
24925,,,Learn a sub-specialization of your choice.
24926,,,+$ev1 $en1 when crafting Alchemy goods.
24927,,,Learn a sub-specialization of your choice.
24928,,,+$ev1% $en1 when crafting Alchemy goods.
24929,,,Learn a sub-specialization of your choice.
24930,,,+$ev1 $en1 when crafting Alchemy goods.
24931,,,Learn a sub-specialization of your choice.
24932,,,+$ev1 $en1 when crafting Alchemy goods.
24933,Alchemical Theory,,"Improve at crafting alchemical products, gaining +$ev1 $en1 for all recipes per point in this specialization."
24934,Inspiring Ambience,,
24935,Resourceful Routines,,
24936,Decayology,,
24937,Chemical Synthesis,,
24938,Transmutation,,
24939,Alchemical Theory,,Improve in the fundamentals of Alchemy to gain a variety of bonuses across your craft.
28440,,,Multicraft grants up to $ev1% extra phials.
28441,,,+$ev1% $en1 when making phials.
28442,,,+$ev1 $en1 when crafting phials.
28443,,,+$ev1% $en1 when making phials.
28444,,,+$ev1 $en1 when crafting phials.
28445,Batch Production,,"Master the art of producing phials more efficiently, gaining +$ev1 $en1 per point in this specialization."
28446,,,Learn $@spellname370747 which yields phials of a higher quality and increases your chance at discovering new recipes.
28447,,,Gain 5% Breakthrough chance with Phial Experimentation.
