EventToastID,Title_lang,Subtitle_lang,InstructionText_lang,SubIcon_lang,TitleTooltip_lang,SubtitleTooltip_lang
1,Level %d,You've Reached,,,,
2,,Dungeon Unlocked!,,,,
3,,New Ability Unlocked!,,,,
4,,Raid Unlocked!,,,,
5,,New Stage,,,,
7,,,,,,
8,,Level Up,,,,
9,,New Ability Available!,,,,
10,You have captured,,,,,
11,%s%s,,,,,
12,Area Looting,Feature Unlocked!,Looting a corpse will now also loot all nearby corpses.,Area Loot Unlocked,,
14,Skoldus Hall,Floor %19812w,,,,
15,Twisting Corridors,Floor %19812w,,,,
16,Fracture Chambers,Floor %19812w,,,,
17,The Soulforges,Floor %19812w,,,,
18,Coldheart Interstitia,Floor %19812w,,,,
19,Mort'regar,Floor %19812w,,,,
20,Dungeon Finder,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Hlfd:|h[Dungeon Finder]|h|r,,
21,Battlegrounds,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Hpvpbgs:|h[Battlegrounds]|h|r,,
22,Specialization,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Hspecpane:|h[Specializations]|h|r,,
23,Talents,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Htalentpane:|h[Talents]|h|r,,
24,PvP Talents,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Htalentpanet:|h[PvP Talents]|h|r Available!,,
25,Mount Equipment,Feature Unlocked!,,New Feature Unlocked: |cffFF4E00|Hmountequipment:|h[Mount Equipment]|h|r Available!,,
26,World Quests,Feature Unlocked!,Open your World Map to view World Quests,New feature unlocked: |cffFF4E00|Hworldquest:|h[World Quests]|h|r\nOpen your World Map to view,,
27,Upper Reaches,Floor %19812w,,,,
28,Arkoban Hall,Floor %19812w,,,,
29,Torment Chamber: Jaina,Floor %19812w,,,,
30,Torment Chamber: Thrall,Floor %19812w,,,,
31,Torment Chamber: Anduin,Floor %19812w,,,,
32,Adamant Vaults,Floor %19812w,,,,
33,Fervid Catacombs,Floor %19812w,,,,
34,Ossuary of the Banished,Floor %19812w,,,,
