ID,Name_lang
1,Durotar
2,Burning Blade Coven
3,Tiragarde Keep
4,Tiragarde Keep
5,Skull Rock
6,Dustwind Cave
7,Mulgore
8,Palemane Rock
9,The Venture Co. Mine
10,Northern Barrens
11,Wailing Caverns
12,Kalimdor
13,Eastern Kingdoms
14,Arathi Highlands
15,Badlands
16,Uldaman
17,Blasted Lands
18,Tirisfal Glades
19,Scarlet Monastery Entrance
20,Keeper's Rest
21,Silverpine Forest
22,Western Plaguelands
23,Eastern Plaguelands
24,Light's Hope Chapel
25,Hillsbrad Foothills
26,The Hinterlands
27,Dun Morogh
28,Coldridge Pass
29,The Grizzled Den
30,New Tinkertown
31,Gol'Bolar Quarry
32,Searing Gorge
33,Blackrock Mountain
34,Blackrock Mountain
35,Blackrock Mountain
36,Burning Steppes
37,Elwynn Forest
38,Fargodeep Mine
39,Fargodeep Mine
40,Jasperlode Mine
41,Dalaran
42,Deadwind Pass
43,The Master's Cellar
44,The Master's Cellar
45,The Master's Cellar
46,Karazhan Catacombs
47,Duskwood
48,Loch Modan
49,Redridge Mountains
50,Northern Stranglethorn
51,Swamp of Sorrows
52,Westfall
53,Gold Coast Quarry
54,Jangolode Mine
55,The Deadmines
56,Wetlands
57,Teldrassil
58,Shadowthread Cave
59,Fel Rock
60,Ban'ethil Barrow Den
61,Ban'ethil Barrow Den
62,Darkshore
63,Ashenvale
64,Thousand Needles
65,Stonetalon Mountains
66,Desolace
67,Maraudon
68,Maraudon
69,Feralas
70,Dustwallow Marsh
71,Tanaris
72,The Noxious Lair
73,The Gaping Chasm
74,Caverns of Time
75,Caverns of Time
76,Azshara
77,Felwood
78,Un'Goro Crater
79,The Slithering Scar
80,Moonglade
81,Silithus
82,Twilight's Run
83,Winterspring
84,Stormwind City
85,Orgrimmar
86,Orgrimmar
87,Ironforge
88,Thunder Bluff
89,Darnassus
90,Undercity
91,Alterac Valley
92,Warsong Gulch
93,Arathi Basin
94,Eversong Woods
95,Ghostlands
96,Amani Catacombs
97,Azuremyst Isle
98,Tides' Hollow
99,Stillpine Hold
100,Hellfire Peninsula
101,Outland
102,Zangarmarsh
103,The Exodar
104,Shadowmoon Valley
105,Blade's Edge Mountains
106,Bloodmyst Isle
107,Nagrand
108,Terokkar Forest
109,Netherstorm
110,Silvermoon City
111,Shattrath City
112,Eye of the Storm
113,Northrend
114,Borean Tundra
115,Dragonblight
116,Grizzly Hills
117,Howling Fjord
118,Icecrown
119,Sholazar Basin
120,The Storm Peaks
121,Zul'Drak
122,Isle of Quel'Danas
123,Wintergrasp
124,Plaguelands: The Scarlet Enclave
125,Dalaran
126,Dalaran
127,Crystalsong Forest
128,Strand of the Ancients
129,The Nexus
130,The Culling of Stratholme
131,The Culling of Stratholme
132,Ahn'kahet: The Old Kingdom
133,Utgarde Keep
134,Utgarde Keep
135,Utgarde Keep
136,Utgarde Pinnacle
137,Utgarde Pinnacle
138,Halls of Lightning
139,Halls of Lightning
140,Halls of Stone
141,The Eye of Eternity
142,The Oculus
143,The Oculus
144,The Oculus
145,The Oculus
146,The Oculus
147,Ulduar
148,Ulduar
149,Ulduar
150,Ulduar
151,Ulduar
152,Ulduar
153,Gundrak
154,Gundrak
155,The Obsidian Sanctum
156,Vault of Archavon
157,Azjol-Nerub
158,Azjol-Nerub
159,Azjol-Nerub
160,Drak'Tharon Keep
161,Drak'Tharon Keep
162,Naxxramas
163,Naxxramas
164,Naxxramas
165,Naxxramas
166,Naxxramas
167,Naxxramas
168,The Violet Hold
169,Isle of Conquest
170,Hrothgar's Landing
171,Trial of the Champion
172,Trial of the Crusader
173,Trial of the Crusader
174,The Lost Isles
175,Kaja'mite Cavern
176,Volcanoth's Lair
177,Gallywix Labor Mine
178,Gallywix Labor Mine
179,Gilneas
180,Emberstone Mine
181,Greymane Manor
182,Greymane Manor
183,The Forge of Souls
184,Pit of Saron
185,Halls of Reflection
186,Icecrown Citadel
187,Icecrown Citadel
188,Icecrown Citadel
189,Icecrown Citadel
190,Icecrown Citadel
191,Icecrown Citadel
192,Icecrown Citadel
193,Icecrown Citadel
194,Kezan
195,Kaja'mine
196,Kaja'mine
197,Kaja'mine
198,Mount Hyjal
199,Southern Barrens
200,The Ruby Sanctum
201,Kelp'thar Forest
202,Gilneas City
203,Vashj'ir
204,Abyssal Depths
205,Shimmering Expanse
206,Twin Peaks
207,Deepholm
208,Twilight Depths
209,Twilight Depths
210,The Cape of Stranglethorn
213,Ragefire Chasm
217,Ruins of Gilneas
218,Ruins of Gilneas City
219,Zul'Farrak
220,The Temple of Atal'Hakkar
221,Blackfathom Deeps
222,Blackfathom Deeps
223,Blackfathom Deeps
224,Stranglethorn Vale
225,The Stockade
226,Gnomeregan
227,Gnomeregan
228,Gnomeregan
229,Gnomeregan
230,Uldaman
231,Uldaman
232,Molten Core
233,Zul'Gurub
234,Dire Maul
235,Dire Maul
236,Dire Maul
237,Dire Maul
238,Dire Maul
239,Dire Maul
240,Dire Maul
241,Twilight Highlands
242,Blackrock Depths
243,Blackrock Depths
244,Tol Barad
245,Tol Barad Peninsula
246,The Shattered Halls
247,Ruins of Ahn'Qiraj
248,Onyxia's Lair
249,Uldum
250,Blackrock Spire
251,Blackrock Spire
252,Blackrock Spire
253,Blackrock Spire
254,Blackrock Spire
255,Blackrock Spire
256,Auchenai Crypts
257,Auchenai Crypts
258,Sethekk Halls
259,Sethekk Halls
260,Shadow Labyrinth
261,The Blood Furnace
262,The Underbog
263,The Steamvault
264,The Steamvault
265,The Slave Pens
