ID,Name_lang
485,Fargodeep Mine
486,Lower Mines
487,Blackrock Spire
488,Blackrock Caverns
489,Blackrock Depths
490,The Master's Cellar
491,Lower Cellar
492,Orgrimmar
493,Cleft of Shadow
496,The Wicked Grotto
497,Foulspore Cavern
498,Tiragarde Keep
499,Great Hall
500,Upper Den
501,Lower Den
502,The Courtyard
503,Dining Hall
504,The Vacant Den
505,Lower Observatory
506,Upper Observatory
507,Lord Godfrey's Chamber
508,The Wall Walk
509,The Deadmines
510,Ironclad Cove
511,The Pool of Ask'Ar
512,Moonshrine Sanctum
513,The Forgotten Pool
514,Hall of the Keepers
515,Khaz'Goroth's Seat
516,The Hall of Gears
517,The Dormitory
518,Launch Bay
519,Tinkers' Court
520,Graveyard
521,Library
522,Armory
523,Cathedral
524,Tazz'Alor
525,Skitterweb Tunnels
526,Hordemar City
527,Hall of Blackhand
528,Halycon's Lair
529,Chamber of Battle
530,Detention Block
531,Shadowforge City
532,The Reliquary
533,Chamber of Summoning
534,The Upper Study
535,Headmaster's Study
536,Crusader's Square
537,The Gauntlet
538,Caverns of Maraudon
539,Zaetar's Grave
540,Deeprun Tram
541,Bizmo's Brawlpub
542,Gordok Commons
543,Capital Gardens
544,Court of the Highborne
545,Prison of Immol'Thar
546,Warpwood Quarter
547,The Shrine of Eldretharr
548,Dragonmaw Garrison
549,Halls of Strife
550,Crimson Laboratories
551,Nefarian's Lair
552,The Hive Undergrounds
553,The Temple Gates
554,Vault of C'Thun
555,Servant's Quarters
556,Upper Livery Stables
557,The Banquet Hall
558,The Guest Chambers
559,Opera Hall Balcony
560,Master's Terrace
561,Lower Broken Stair
562,Upper Broken Stair
563,The Menagerie
564,Guardian's Library
565,The Repository
566,Upper Library
567,The Celestial Watch
568,Gamesman's Hall
569,Medivh's Chambers
570,The Power Station
571,Netherspace
572,The Construct Quarter
573,The Arachnid Quarter
574,The Military Quarter
575,The Plague Quarter
576,The Lower Necropolis
577,The Upper Necropolis
578,The Steamvault
579,The Cooling Pools
