ID,Signature_lang
1,|cff042c54King|nVarian Wrynn|r
2,|cff480404Warchief|nVol'jin|r
3,
5,
6,|cff042c54King|nAnduin Wrynn|r
7,|cff480404Warchief|nSylvanas Windrunner|r
8,
10,
11,|cff480404Nathanos Blightcaller|r
12,|cff042c54Genn Greymane|r
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,|cff480404Lor'themar Theron|r
24,|cff042c54Master Mathias Shaw|r
25,|cff480404Valeera Sanguinar|r
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
