ID,Name_lang,Cost_lang,OutOfError_lang,ToolTip_lang
9,Test Power,%d Test Power,Not enough Test Power,
10,Test Power,%d Test Power,Not enough Test Power,
18,Lethality Meter,,,
23,Sound Bar,Sound,You are undetected,How noisy you are being!
24,Blight Sample,,,
26,Digestive Acids,,,You are being digested by the stomach acids of Iso'rath!|n|nThe acid's strength increases over time - find shelter with nearby Earthen Ring shaman to heal yourself!
29,Race Progress,What does this mean?,,
30,Wave Progress,What does this mean?,,
32,Wave Progress,What does this mean?,,
33,Wave Progress,What does this mean?,,
34,Alexstrasza's Power,,,
35,Wave Progress,What does this mean?,,
36,Warden Stillwater,What does this mean?,,The amount of life remaining until Warden Stillwater is defeated.
37,Corrupted Blood,Corrupted Blood,Your blood is clean!,Causes:|n Corruption: Accelerated at 25%. |n Corruption: Sickness at 50% |n Corruption: Malformation at 75% |n Corruption: Absolute at 100%.
39,Electrical Charge,Electricity,,Onyxia's current level of electrical charge. She will explode when fully charged.
61,Chi,%d Chi,Not enouch chi,The energy your attacks have stored up.
62,Rescue Progress,,,Stay near the stranded druid!
63,Ritual Progress,,,Fight the elementals at the portal atop Nordune Ridge!
64,Direction Gauge,Direction,,This is the direction that Lord Rhyolith is headed.
65,Concentration,Concentration,Lost Concentration.,Your damage and healing increases as you concentrate on the task at hand. These bonuses are lost if you are hit by a hostile attack or spell.
66,Rebel Camp Defended,,,Defend the Rebel Camp from the troll attackers!
67,Grom'gol Defended,,,Defend Grom'gol Base Camp from the troll attackers!
68,Protecting Thrall,,,Fight the elementals that threaten to tear Thrall apart!
69,Protecting Thrall,,,Fight the elementals that threaten to tear Thrall apart!
72,Protecting Thrall,,,Defeat the Twilight forces that threaten Thrall!
78,Freeing Thrall,,,Activate the totems to free Thrall!
80,Molten Feathers,Molten Feather,You have no molten feathers!,Number of Molten Feathers collected.
83,Whack-a-Gnoll,,,Whack 'em good!
84,Shooting Gallery,,,Shoot fast to earn more points!
86,Steam Tonk Challenge,,,Ready to roll out!
87,Vitality,,,Revive the wounded crewman before their Vitality hits zero.
88,Ring Toss Challenge,,,Ring Toss
89,Parachute Drop,,,Parachutes Remaining
90,Sands of Time,Sands of Time,The hourglass has no sands remaining!,The number of times the Hourglass can turn back time.
