ID,Name_lang
4,Vignette Test Kill
5,Vignette Test Loot
9,Vignette Test Event
10,Starcrusher Roghash
11,Farah Treasure Walker
12,Captured Draenei
13,The Voidseer
14,Uraka
15,Synodicus
16,Embaari Defense Crystal
17,Mysterious Void
18,The Obliterator
19,Prophecy of Jerrikar
20,Prophecy of Kraator
21,Prophecy of the Warp-Watcher
22,Obliterator Construction
23,Leaf-Reader Kurri
24,Iron Chain Treasure
25,Hygrocybe
26,Rockhoof
27,Talby
28,Shadow Mountain Treasure
29,Bergzoid
30,Yggdrel
33,Bloodtip
34,Cracklefang
35,Vicejaw
36,Quid
37,Aetha
38,Spirit of Lao-Fe
39,Bai'Jin the Butcher
40,Gochao the Ironfist
41,Gaohun the Soul-Severer
42,General Temuja
43,Shadowmaster Sydow
44,Wulon
45,Huo-Shuang
46,Baolai the Immolator
47,Vyraxxis
48,Kri'chon
49,Really Skunky Beer
50,Zesqua
51,Sunken Treasure
52,Zarhym Altogether
53,Cranegnasher
54,Blackguard's Jetsam
55,Kukuru's Treasure Cache
56,Rope-Bound Treasure Chest
57,Gleaming Treasure Chest
58,Gleaming Treasure Satchel
59,Chelon
60,Karkanos
61,Battle of the Barnacle
62,Jeremy's Test Vignette
63,Moonfang
64,Cave-in
65,Ironfur Steelhorn
66,Leafmender
67,Great Turtle Furyshell
68,Emerald Gander
69,Gu'chi the Swarmbringer
70,Spirit of Jadefire
71,Rattleskew
72,Whizzig
73,Zhu-Gon the Sour
74,Spelurk
75,Garnia
76,Rock Moss
77,Cinderfall
78,Tsavo'ka
79,Huolon
80,Monstrous Spineclaw
81,Bufo
82,Dread Ship Vazuvius
83,Golganarr
84,Imperial Python
85,Evermaw
86,Archiereus of Flame
87,Watcher Osu
88,Urdur the Cauterizer
89,Jakur of Ordon
90,Flintlord Gairan
91,Champion of the Black Flame
92,Gleaming Crane Statue
93,Ancient Saltsnap Turtle
94,Sooty
95,Stinkbraid
96,Ra'sha
97,Willy Wilder
98,Zandalari Warscout
99,Muerta
100,Kar Warmaker
101,Ubunti the Shade
102,Disha Fearwarden
103,Dalan Nightbreaker
104,Mavis Harms
105,Ferdinand
106,Blackhoof
107,Major Nanners
108,Ik-Ik the Nimble
109,The Yowler
110,Scritch
111,Spriggin
112,Bonobos
113,Mister Ferocious
114,Ai-Ran the Shifting Cloud
115,Ai-Li Skymirror
116,Yul Wildpaw
