ID,Title_Lang_enUS,Description_Lang_enUS,Reward_Lang_enUS
6,Level 10,Reach level 10.,
7,Level 20,Reach level 20.,
8,Level 30,Reach level 30.,
9,Level 40,Reach level 40.,
10,Level 50,Reach level 50.,
11,Level 60,Reach level 60.,
12,Level 70,Reach level 70.,
13,Level 80,Reach level 80.,
15,Plenty of Pets,Collect 15 unique companion pets.,
16,Did Somebody Order a Knuckle Sandwich?,Raise your unarmed skill to 400.,
31,A Simple Re-Quest,Complete a daily quest every day for five consecutive days.,
32,2000 Quests Completed,Complete 2000 quests.,
33,Nothing Boring About Borean,Complete 130 quests in Borean Tundra.,
34,I've Toured the Fjord,Complete 130 quests in Howling Fjord.,
35,Might of Dragonblight,Complete 115 quests in Dragonblight.,
36,The Empire of Zul'Drak,Complete 100 quests in Zul'Drak.,
37,Fo' Grizzle My Shizzle,Complete 85 quests in Grizzly Hills.,
38,The Summit of Storm Peaks,Complete 100 quests in Storm Peaks.,
39,Into the Basin,Complete 75 quests in Sholazar Basin.,
40,Icecrown: The Final Goal,Complete 140 quests in Icecrown.,
41,Loremaster of Northrend,Complete the Northrend quest achievements listed below.,
42,Explore Eastern Kingdoms,Explore the regions of Eastern Kingdoms.,
43,Explore Kalimdor,Explore the regions of Kalimdor.,
44,Explore Outland,Explore the regions of Outland.,
45,Explore Northrend,Explore the regions of Northrend.,Reward: Tabard of the Explorer
46,World Explorer,"Explore Eastern Kingdoms, Kalimdor, Outland and Northrend.",Title Reward: The Explorer
49,Alterac Valley victories,Alterac Valley victories,
50,Eye of the Storm victories,Eye of the Storm victories,
51,Arathi Basin victories,Arathi Basin victories,
52,Warsong Gulch battles,Warsong Gulch battles,
53,Alterac Valley battles,Alterac Valley battles,
54,Eye of the Storm battles,Eye of the Storm battles,
55,Arathi Basin battles,Arathi Basin battles,
56,Deaths in Warsong Gulch,Deaths in Warsong Gulch,
57,Deaths in Alterac Valley,Deaths in Alterac Valley,
58,Deaths from Drek'Thar,Deaths from Drek'Thar,
59,Deaths in Arathi Basin,Deaths in Arathi Basin,
60,Total deaths,Total deaths,
73,Disgracin' The Basin,Assault 3 bases in a single Arathi Basin battle.,
94,Quests abandoned,Quests abandoned,
95,Average quests completed per day,Average quests completed per day,
97,Daily quests completed,Daily quests completed,
98,Quests completed,Quests completed,
99,Ruins of Lordaeron matches,Ruins of Lordaeron matches,
100,Ring of Trials victories,Ring of Trials victories,
101,Ring of Trials matches,Ring of Trials matches,
102,Ruins of Lordaeron victories,Ruins of Lordaeron victories,
103,Circle of Blood matches,Circle of Blood matches,
104,Circle of Blood victories,Circle of Blood victories,
105,Warsong Gulch victories,Warsong Gulch victories,
107,Creatures killed,Creatures killed,
108,Critters killed,Critters killed,
110,Lich King 5-player boss killed the most,Lich King 5-player boss killed the most,
112,Deaths from drowning,Deaths from drowning,
113,Deaths from fatigue,Deaths from fatigue,
114,Deaths from falling,Deaths from falling,
115,Deaths from fire and lava,Deaths from fire and lava,
116,Professional Journeyman,Become a Journeyman in a profession.,
121,Journeyman Cook,Become a Journeyman Cook.,
122,Expert Cook,Become an Expert Cook.,
123,Artisan Cook,Become an Artisan Cook.,
124,Master Cook,Become a Master Cook.,
125,Grand Master Cook,Become a Grand Master Cook.,
126,Journeyman Fisherman,Become a Journeyman Fisherman.,
127,Expert Fisherman,Become an Expert Fisherman.,
128,Artisan Fisherman,Become an Artisan Fisherman.,
129,Master Fisherman,Become a Master Fisherman.,
130,Grand Master Fisherman,Become a Grand Master Fisherman.,
131,Journeyman in First Aid,Become a Journeyman in first aid.,
132,Expert in First Aid,Become an Expert in first aid.,
133,Artisan in First Aid,Become an Artisan in first aid.,
134,Master in First Aid,Become a Master in first aid.,
135,Grand Master in First Aid,Become a Grand Master in first aid.,
137,Stocking Up,Create 500 Heavy Frostweave Bandages.,
141,Ultimate Triage,Use a Heavy Frostweave Bandage to heal another player or yourself with less than 5% health.,
144,The Lurker Above,Fish up The Lurker Below in Serpentshrine Cavern.,
150,The Fishing Diplomat,Fish something up in Orgrimmar and Stormwind.,
153,The Old Gnome and the Sea,Successfully fish from a school.,
154,Arathi Basin Victory,Win Arathi Basin.,
155,Arathi Basin Veteran,Complete 100 victories in Arathi Basin.,
156,Territorial Dominance,Win 10 Arathi Basin matches while controlling all 5 flags.,
157,To The Rescue!,Come to the defense of a base in Arathi Basin 50 times by recapping the flag.,
158,Me and the Cappin' Makin' it Happen,Take 50 flags in Arathi Basin.,
159,Let's Get This Done,Win Arathi Basin in 6 minutes.,
161,Resilient Victory,Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.,
162,We Had It All Along *cough*,Win Arathi Basin by 10 points (1600 to 1590).,
165,Arathi Basin Perfection,Win Arathi Basin with a score of 1600 to 0.,
166,Warsong Gulch Victory,Win Warsong Gulch.,
167,Warsong Gulch Veteran,Complete 100 victories in Warsong Gulch.,
168,Warsong Gulch Perfection,Win Warsong Gulch with a score of 3 to 0.,
178,Enchanting formulae learned,Enchanting formulae learned,
181,Items disenchanted,Items disenchanted,
183,Materials produced from disenchanting,Materials produced from disenchanting,
189,Largest heal cast,Largest heal cast,
193,Largest hit dealt,Largest hit dealt,
197,Total damage done,Total damage done,
198,Total healing done,Total healing done,
199,Capture the Flag,Personally carry and capture the flag in Warsong Gulch.,
200,Persistent Defender,Return 50 flags as a defender in Warsong Gulch.,
201,Warsong Expedience,Win Warsong Gulch in under 7 minutes.,
202,Quick Cap,Grab the flag and capture it in under 75 seconds.,
203,Not In My House,"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.",
204,Ironman,"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",
206,Supreme Defender,Kill 100 flag carriers in Warsong Gulch.,
207,Save The Day,"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.",
208,Eye of the Storm Victory,Win Eye of the Storm.,
209,Eye of the Storm Veteran,Complete 100 victories in Eye of the Storm.,
211,Storm Glory,"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.",
212,Storm Capper,Personally carry and capture the flag in Eye of the Storm.,
213,Stormtrooper,Kill 5 flag carriers in a single Eye of the Storm battle.,
214,Flurry,Win Eye of the Storm in under 6 minutes.,
216,Bound for Glory,"In a single Eye of the Storm match, capture the flag 3 times without dying.",
218,Alterac Valley Victory,Win Alterac Valley.,
219,Alterac Valley Veteran,Complete 100 victories in Alterac Valley.,
220,Stormpike Perfection,Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.,
221,Alterac Grave Robber,Take 50 graveyards in Alterac Valley.,
222,Tower Defense,Defend 50 towers in Alterac Valley.,
223,The Sickly Gazelle,"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.",
224,Loyal Defender,"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.",
225,Everything Counts,Win Alterac Valley while your team controls both mines.,
226,The Alterac Blitz,Win Alterac Valley in 6 minutes.,
227,Damage Control,"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.",
229,The Grim Reaper,Get 30 Honorable Kills in a single battle in any battleground.,
230,Battlemaster,Complete the battleground achievements listed below.,Title Reward: Battlemaster
231,Wrecking Ball,Get 20 killing blows without dying in a single battle in any battleground.,
233,Bloodthirsty Berserker,Get a killing blow while under the effects of the berserker buff in Eye of the Storm.,
238,An Honorable Kill,Achieve an honorable kill.,
239,25000 Honorable Kills,Get 25000 honorable kills.,
245,That Takes Class,"Get an honorable, killing blow on one of each class.",
246,Know Thy Enemy,"Get an honorable, killing blow on five different races.",
247,"Make Love, Not Warcraft",Emote /hug on a dead enemy before they release corpse.,
248,Sunday's Finest,Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.,
249,Dressed for the Occasion,Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.,
252,With a Little Helper from My Friends,Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.,
255,Bring Me The Head of... Oh Wait,Kill the Headless Horseman.,
259,Scrooge,Throw a snowball at Cairne Bloodhoof during the Feast of Winter Veil.,
260,Charming,Create 12 Lovely Charm Bracelets.,
263,Ice the Frost Lord,Slay Ahune in the Slave Pens.,
271,Burning Hot Pole Dance,Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.,
272,Torch Juggler,Juggle 40 torches in 15 seconds in Dalaran.,
273,On Metzen!,Save Metzen the Reindeer.,
275,Veteran Nanny,"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar on one character.",
277,'Tis the Season,"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.",
279,Simply Abominable,Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.,
281,First Aid skill,First Aid skill,
283,The Masquerade,Get transformed by the Hallowed Wands listed below.,
284,A Mask for All Occasions,Collect the 20 unique Flimsy Masks listed below.,
288,Out With It,Eat so many Tricky Treats that you get an upset tummy.,
289,The Savior of Hallow's End,Complete one of the quests to save a village from the Headless Horseman.,
291,Check Your Head,Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.,
292,Sinister Calling,Obtain a Sinister Squashling pet and Hallowed Helm.,
293,Disturbing the Peace,"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.",
295,Direbrewfest,Kill Coren Direbrew.,
303,"Have Keg, Will Travel","Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.",
306,Master Angler of Azeroth,Win the Booty Bay fishing contest or the Kalu'ak Fishing Derby.,
318,Total deaths from opposite faction,,
319,Duels won,Duels won,
320,Duels lost,Duels lost,
321,Total raid and dungeon deaths,Total raid and dungeon deaths,
322,Total deaths to Lich King dungeon bosses,Total deaths to Lich King dungeon bosses,
323,Total deaths to Lich King 10-player raid bosses,Total deaths to Lich King 10-player raid bosses,
324,Total deaths to Lich King 25-player raid bosses,Total deaths to Lich King 25-player raid bosses,
326,Gold from quest rewards,Gold from quest rewards,
328,Total gold acquired,Total gold acquired,
329,Auctions posted,Auctions posted,
330,Auction purchases,Auction purchases,
331,Most expensive bid on auction,Most expensive bid on auction,
332,Most expensive auction sold,Most expensive auction sold,
333,Gold looted,Gold looted,
334,Most gold ever owned,Most gold ever owned,
336,Legendary items acquired,Legendary items acquired,
338,Vanity pets owned,Vanity pets owned,
339,Mounts owned,Mounts owned,
341,Epic items looted,Epic items looted,
342,Epic items acquired,Epic items acquired,
344,Bandages used,Bandages used,
345,Health potions consumed,Health potions consumed,
346,Beverages consumed,Beverages consumed,
347,Food eaten,Food eaten,
349,Flight paths taken,Flight paths taken,
350,Mage Portals taken,Mage Portals taken,
353,Number of times hearthed,Number of times hearthed,
362,5v5 victories,5v5 victories,
363,5v5 matches,5v5 matches,
364,3v3 victories,3v3 victories,
365,3v3 matches,3v3 matches,
366,2v2 victories,2v2 victories,
367,2v2 matches,2v2 matches,
