ID,Name_Lang_enUS
1,Statistics
21,Player vs. Player
81,Feats of Strength
92,General
95,Player vs. Player
96,Quests
97,Exploration
122,Deaths
123,Arenas
124,Battlegrounds
125,Dungeons
126,World
127,Resurrection
128,Kills
130,Character
131,Social
132,Skills
133,Quests
134,Travel
135,Creatures
136,Honorable Kills
137,Killing Blows
140,Wealth
141,Combat
145,Consumables
147,Reputation
152,Rated Arenas
153,Battlegrounds
154,World
155,World Events
156,Winter Veil
158,Hallow's End
159,Noblegarden
160,Lunar Festival
161,Midsummer
162,Brewfest
163,Children's Week
165,Arena
168,Dungeons & Raids
169,Professions
170,Cooking
171,Fishing
172,First Aid
173,Professions
178,Secondary Skills
187,Love is in the Air
191,Gear
201,Reputation
14777,Eastern Kingdoms
14778,Kalimdor
14779,Outland
14780,Northrend
14801,Alterac Valley
14802,Arathi Basin
14803,Eye of the Storm
14804,Warsong Gulch
14805,The Burning Crusade
14806,Lich King Dungeon
14807,Dungeons & Raids
14808,Classic
14821,Classic
14822,The Burning Crusade
14823,Wrath of the Lich King
14861,Classic
14862,The Burning Crusade
14863,Wrath of the Lich King
14864,Classic
14865,The Burning Crusade
14866,Wrath of the Lich King
14881,Strand of the Ancients
14901,Wintergrasp
14921,Lich King Heroic
14922,Lich King 10-Player Raid
14923,Lich King 25-Player Raid
14941,Argent Tournament
14961,Secrets of Ulduar 10-Player Raid
14962,Secrets of Ulduar 25-Player Raid
14963,Secrets of Ulduar
14981,Pilgrim's Bounty
15001,Call of the Crusade 10-Player Raid
15002,Call of the Crusade 25-Player Raid
15003,Isle of Conquest
15021,Call of the Crusade
15041,Fall of the Lich King 10-Player Raid
15042,Fall of the Lich King 25-Player Raid
15062,Fall of the Lich King
