ID,Description_Lang_enUS
34,Reach level 10
35,Reach level 20
36,Reach level 30
37,Reach level 40
38,Reach level 50
39,Reach level 60
40,Reach level 70
41,Reach level 80
72,Complete a daily quest every day for five consecutive days
73,Complete 2000 quests
74,Complete 130 quests in Boren Tundra
75,Complete 130 quests in Howling Fjord
76,Complete 115 quests in Dragonblight
77,Complete 100 Zul'Drak Quests
78,Complete 85 quests in Grizzly Hills
79,Complete 100 Storm Peaks Quests
80,Complete 75 Sholazar Basin quests.
81,Complete 140 Icecrown Glacier quests
82,Nothing Boring About Borean
83,I've Toured the Fjord
84,Might of Dragonblight
85,The Empire of Zul'Drak
86,Fo' Grizzle My Shizzle
87,The Summit of Storm Peaks
88,Into the Basin
89,Icecrown: The Final Goal
94,Eastern Kingdoms
95,Kalimdor
96,Outland
97,Northrend
100,Alterac Valley victories
102,Arathi Basin victories
104,Alterac Valley battles
105,Eye of the Storm battles
106,Arathi Basin battles
107,Deaths in Warsong Gulch
108,Deaths in Alterac Valley
110,Arathi Basin Deaths
111,Total deaths
123,Assault 3 bases in a single Arathi Basin battle
140,Warsong Gulch Victories
147,Deaths from drowning
148,Deaths from fatigue
149,Deaths from falling
150,Deaths from fire and lava
151,Deaths from fire and lava
162,Total damage done
164,
166,Win Arathi Basin
167,Unarmed skill raised to 400
168,Become a journeyman cook
169,5 man instances
170,10 man instances
171,25 man instances
176,Complete 100 victories in Arathi Basin.
177,Win Warsong Gulch
189,Prince Keleseth
190,Skarvald the Constructor
191,Dalronn the Controller
192,Ingvar the Plunderer
195,Grand Magus Telestra
196,Anomalus
197,Ormorok the Tree-Shaper
198,Keristrasza
199,Trollgore
200,Novos the Summoner
201,King Dred
203,Drakos the Interrogator
204,Varos Cloudstrider
205,Mage-Lord Urom
206,Ley-Guardian Eregos
207,Svala Sorrowgrave
208,Gortok Palehoof
209,Skadi the Ruthless
210,King Ymiron
211,Meathook
212,Salramm the Fleshcrafter
213,Chrono-Lord Epoch
215,Maiden of Grief
216,Krystallus
217,Sjonnir the Ironshaper
218,General Bjarngrim
219,Volkhan
220,Ionar
221,Complete 100 victories in Warsong Gulch
222,Win Eye of the Storm.
223,Complete 100 victories in Eye of the Storm
224,Win Alterac Valley.
225,Complete 100 victories in Alterac Valley
226,Master of Alterac Valley
227,Master of Arathi Basin
228,Master of Eye of the Storm
229,Master of Warsong Gulch
230,Complete 50 quests
231,Complete 100 quests
232,Complete 250 quests
233,Complete 500 quests
234,Complete 1000 quests
236,Complete 1500 quests
285,Return to Angrathar - Alliance
286,Return to Angrathar - Horde
306,Win 1 ranked arena match
307,Win 100 ranked arena matches
308,Take 50 flags in Arathi Basin
318,"Sulfuras, Hand of Ragnaros"
325,Warglaive of Azzinoth (Off Hand)
326,Warglaive of Azzinoth (Main Hand)
328,Scarab Lord
329,1550 rating
330,1550 rating
331,1550 rating
332,1750 rating
333,1750 rating
334,1750 rating
335,2000 rating
336,2000 rating
337,2000 rating
347,Assassination of Harold Lane
349,Blue Murloc Egg
350,Murloc Costume
351,Anub'Rekhan
352,Grand Widow Faerlina
353,Maexxna
357,Patchwerk
358,Grobbulus
359,Gluth
360,Thaddius
365,Noth the Plaguebringer
366,Heigan the Unclean
367,Loatheb
372,Instructor Razuvious
373,Gothik the Harvester
379,Sapphiron
381,Kel'Thuzad
382,Kel'Thuzad
383,The Arachnid Quarter
384,The Construct Quarter
385,The Plague Quarter
386,The Military Quarter
387,Sapphiron's Demise
388,Kel'Thuzad's Defeat
389,The Arachnid Quarter
390,The Construct Quarter
391,The Plague Quarter
392,The Military Quarter
393,Sapphiron's Demise
394,Kel'Thuzad's Defeat
406,Win the Booty Bay fishing contest
409,Headless Horseman
414,Defend 50 bases
416,Capture the flag
417,Return the flag 50 times
418,Capture the flag
419,Take 50 graveyards
420,50 towers defended
421,Assault a graveyard
422,Defend a graveyard
423,Assault a tower
424,Defend a tower
425,Kill someone in the Field of Strife
426,Assault 2 bases
427,Defend 2 bases
431,Kill 5 people at the blacksmith
432,Kill 5 people at the farm
433,Kill 5 people at the gold mine
434,Kill 5 people at the lumber mill
435,Kill 5 people at the stables
436,Alterac Valley towers defended
437,Alterac Valley towers captured
438,Eye of the Storm flag captures
439,Warsong Gulch flags captured
440,Warsong Gulch flags returned
441,Kill 5 people at the Blood Elf Tower
442,Kill 5 people at the Draenei Ruins
443,Kill 5 people at the Fel Reaver ruins
444,Kill 5 people at the Mage Tower
447,Highest 3 man personal rating
448,
449,Highest 3 man team rating
450,Highest 5 man team rating
451,Highest 2 man personal rating
452,Highest 5 man personal rating
455,Deaths from Hogger
456,Killed by Drek'Thar
472,Receive a Coin of Ancestry.
473,Receive 5 Coins of Ancestry
474,Receive 10 Coins of Ancestry
475,Receive 25 Coins of Ancestry
476,Receive 50 Coins of Ancestry
477,Ahune
478,Metzen saved
479,Metzen saved
480,Thrall
481,Cairne Bloodhoof
482,Lady Sylvanas Windrunner
483,Lor'themar Theron
484,Death to the Warchief!
485,Bleeding Bloodhoof
486,Downing the Dark Lady
487,Killed in Quel'Thalas
489,King Magni Bronzebeard
490,High Priestess Tyrande Whisperwind
491,Prophet Velen
492,Storming Stormwind
493,Death to the King!
494,Immortal No More
495,Putting Out the Light
496,Festive Black Pant Suit
497,Festive Blue Pant Suit
498,Festive Teal Pant Suit
499,Festive Green Dress
500,Festive Pink Dress
501,Festive Purple Dress
502,Coldridge Pass
503,Chill Breeze Valley
504,Shimmer Ridge
505,Kharanos
506,Misty Pine Refuge
507,The Tundrid Hills
508,Amberstill Ranch
509,Helm's Bed Lake
510,Gol'Bolar Quarry
511,North Gate Outpost
512,Frostmane Hold
513,Brewnall Village
514,Anvilmar
515,The Grizzled Den
516,South Gate Outpost
517,Iceflow Lake
518,Gnomeregan
519,Gates of Ironforge
520,Malygos
521,Malygos
522,Sartharion the Onyx Guardian
523,Sartharion the Onyx Guardian
524,Edwin VanCleef
525,Taragaman the Hungerer
526,Mutanus the Devourer
527,Archmage Arugal
528,Aku'mai
529,Bazil Thredd
530,Mekgineer Thermaplugg
531,Charlga Razorflank
532,Amnennar the Coldbringer
533,High Inquisitor Whitemane
534,Scarlet Commander Mograine
535,Arcanist Doan
536,Herod
537,Bloodmage Thalnos
538,Archaedas
539,Chief Ukorz Sandscalp
540,Princess Theradras
541,Shade of Eranikus
542,Emperor Dagran Thaurissan
544,Overlord Wyrmthalak
545,Alzzin the Wildshaper
546,Immol'thar
547,King Gordok
548,Ras Frostwhisper
549,Darkmaster Gandling
550,Balnazzar
551,Baron Rivendare
552,Omor the Unscarred
555,Keli'dan the Breaker
556,Quagmirran
557,The Black Stalker
558,Nexus-Prince Shaffar
559,Epoch Hunter
560,Talon King Ikiss
561,Murmur
562,Aeonus
563,Warlord Kalithresh
564,Warchief Kargath Bladefist
565,Pathaleon the Calculator
566,Warp Splinter
567,Harbinger Skyriss
568,Kael'thas Sunstrider
569,Diablo Stone
570,Panda Collar
571,Zergling Leash
572,Netherwhelp's Collar
573,Exarch Maladaar
592,Frosty's Collar
594,Nefarian
595,Ragnaros
596,C'Thun
597,Hakkar
598,Ossirian the Unscarred
599,Prince Malchezaar
600,Zul'jin
601,Gruul the Dragonkiller
602,Magtheridon
603,Lady Vashj
604,Archimonde
605,Kael'thas Sunstrider
606,Illidan Stormrage
607,Kil'jaeden
608,Blade's Edge Arena
609,Nagrand Arena
610,Ruins of Lordaeron
611,Arathi Basin Shutout
612,Become an expert cook
613,Become an artisan cook
614,Become a master cook
615,Become a grand master cook
616,Alchemy
617,Blacksmithing
618,Enchanting
619,Engineering
620,Herbalism
621,Inscription
622,Jewelcrafting
623,Leatherworking
624,Mining
625,Skinning
626,Tailoring
641,Axes
645,Hero of the Frostwolf Clan
646,The Defiler
648,Warsong Outrider
651,Bows
652,Crossbows
653,Daggers
654,Guns
655,Maces
656,Polearms
657,Staves
707,Grand Marshal
708,Field Marshal
709,Marshal
710,Commander
711,Lieutenant Commander
712,Knight-Champion
713,Knight-Captain
714,Knight-Lieutenant
721,Knight
722,Sergeant Major
723,Master Sergeant
724,Sergeant
725,Corporal
726,Private
727,High Warlord
728,Warlord
729,General
730,Lieutenant General
731,Champion
732,Centurion
733,Legionnaire
734,Blood Guard
735,Stone Guard
736,First Sergeant
737,Senior Sergeant
