ID,Text_Lang_enUS
1,%s agrees with %s.
2,%s agrees with you.
3,You agree with %s.
4,%s agrees.
5,You agree.
6,%s is amazed by %s!
7,%s is amazed by you!
8,You are amazed by %s!
9,%s is amazed!
10,You are amazed!
11,%s raises his fist in anger at %s.
12,%s raises his fist in anger at you.
13,You raise your fist in anger at %s.
14,%s raises his fist in anger.
15,You raise your fist in anger.
16,%s raises her fist in anger at %s.
17,%s raises her fist in anger at you.
18,%s raises her fist in anger.
19,%s apologizes to %s.  Sorry!
20,%s apologizes to you.  Sorry!
21,You apologize to %s.  Sorry!
22,%s apologizes to everyone.  Sorry!
23,You apologize to everyone.  Sorry!
24,%s applauds at %s.  Bravo!
25,%s applauds at you.  Bravo!
26,You applaud at %s.  Bravo!
27,%s applauds.  Bravo!
28,You applaud.  Bravo!
29,%s is so bashful...too bashful to get %s's attention.
30,%s is so bashful...too bashful to get your attention.
31,You are so bashful...too bashful to get %s's attention.
32,%s is bashful.
33,You are bashful.
34,%s beckons %s over.
35,%s beckons you over.
36,You beckon %s over.
37,%s beckons everyone over.
38,You beckon everyone over to you.
39,%s begs %s.  How pathetic.
40,%s begs you.  How pathetic.
41,You beg %s.  How pathetic.
42,%s begs everyone around him.  How pathetic.
43,You beg everyone around you. How pathetic.
44,%s begs everyone around her.  How pathetic.
45,%s bites %s.  Ouch!
46,%s bites you.  Ouch!
47,You bite %s.  Ouch!
48,%s looks around for someone to bite.
49,You look around for someone to bite.
50,Blood oozes from %s's wounds.
51,Blood oozes from your wounds.
52,%s blinks at %s.
53,%s blinks at you.
54,You blink at %s.
55,%s blinks.
56,You blink your eyes.
57,%s blushes at %s.
58,%s blushes at you.
59,You blush at %s.
60,%s blushes.
61,You blush.
62,%s bonks %s on the noggin.  Doh!
63,%s bonks you on the noggin.  Doh!
64,You bonk %s on the noggin.  Doh!
65,%s bonks his own noggin.  Doh!
66,You bonk yourself on the noggin.  Doh!
67,%s bonks her own noggin.  Doh!
68,%s is terribly bored with %s.
69,%s is terribly bored with you.
70,You are terribly bored with %s.
71,%s is overcome with boredom.  Oh the drudgery!
72,You are overcome with boredom.  Oh the drudgery!
73,%s bounces up and down in front of %s.
74,%s bounces up and down in front of you.
75,You bounce up and down in front of %s.
76,%s bounces up and down.
77,You bounce up and down.
