ID,Answer_Lang_enUS
101,
102,Yes
103,No
104,
105,0
106,1
107,2
108,3
109,4
110,5
111,6
112,7
113,8
114,9
115,Much worse
116,Somewhat worse
117,About the same
118,Better
119,Much better
120,10
121,
152,Better
153,Much better
154,
155,Much worse
156,Somewhat worse
157,About the same
158,Better
159,Much better
160,
161,Much worse
162,Somewhat worse
163,About the same
164,Better
165,Much better
166,
167,Much worse
168,Somewhat worse
169,About the same
170,Better
171,Much better
172,
173,Much worse
174,Somewhat worse
175,About the same
