ID,Text_Lang_enUS
201,"|cffffd100Tip:|r Your spell casting can be cancelled by moving, jumping or hitting the escape key.

"
221,"|cffffd100Tip:|r Clicking on a player name in the chat window lets you send a private message to them.
"
222,"|cffffd100Tip:|r You can <Control>Click on an item to see how you would look wearing that item.
"
223,"|cffffd100Tip:|r An item with its name in gray is a poor quality item and generally can be sold to a vendor.
"
224,"|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.
"
225,"|cffffd100Tip:|r You can send mail to other players or even to your other characters from any mailbox in game.
"
226,"|cffffd100Tip:|r You can <Shift>Click on an item to place an item link into a chat message.
"
227,"|cffffd100Tip:|r All of your action bars can have their hotkeys remapped in the key bindings interface.
"
229,"|cffffd100Tip:|r On your character sheet is a reputation tab that tells you your status with different groups.
"
230,"|cffffd100Tip:|r You can perform many fun actions with the emote system, for instance you can type /dance to dance.
"
231,"|cffffd100Tip:|r The interface options menu <ESC> has lots of ways to customize your game play.
"
232,"|cffffd100Tip:|r You can turn on slow scrolling of quest text in the interface options menu.

"
233,"|cffffd100Tip:|r Spend your talent points carefully as once your talents are chosen, you must spend gold to unlearn them.
"
234,"|cffffd100Tip:|r A mail icon next to the minimap means you have new mail.  Visit a mailbox to retrieve it.
"
235,"|cffffd100Tip:|r You can add additional action bars to your game interface from the interface options menu.
"
236,"|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.
"
237,"|cffffd100Tip:|r If you enjoyed playing with someone from your realm, put them on your friends list!
"
239,"|cffffd100Tip:|r There are a number of different loot options when in a group. The group leader can right-click their own portrait to change the options.
"
240,"|cffffd100Tip:|r If you never want to hear from another player again, you can /ignore them. You can always change your mind later.
"
241,"|cffffd100Tip:|r You can target members of your party with the function keys.  F1 targets you; F2 targets the second party member.
"
242,|cffffd100Tip:|r Being polite while in a group with others will get you invited back!
243,"|cffffd100Tip:|r You can click on a faction in the reputation pane to get additional information and options about that faction.

"
244,"|cffffd100Tip:|r A monster with a silver dragon around its portrait is a rare monster with better than average treasure.
"
245,"|cffffd100Tip:|r If you mouse over a chat pane it will become visible and you can Right Click on the chat pane tab for options.
"
246,"|cffffd100Tip:|r You can display the duration of beneficial spells on you from the interface options menu.
"
247,"|cffffd100Tip:|r You can lock your action bar so you don't accidentally move spells. This is done using the interface options menu.
"
248,"|cffffd100Tip:|r You can cast a spell on yourself without deselecting your current target by holding down <Alt> while pressing your hotkey.
"
250,|cffffd100Tip:|r Killing guards gives no honor.
251,"|cffffd100Tip:|r Typing /macro will bring up the interface to create macros.
"
252,"|cffffd100Tip:|r Enemy players whose names appear in gray are much lower level than you are and will not give honor when killed.
"
253,"|cffffd100Tip:|r From the Raid UI you can drag a player to the game field to see their status or drag a class icon to see all members of that class.

"
254,"|cffffd100Tip:|r You can hide your interface with <Alt>Z and take screenshots with <Print Screen>.
"
256,"|cffffd100Tip:|r You can change which buffs or debuffs are displayed on yourself or targets in order to get the information you need.
"
258,"|cffffd100Tip:|r If you <Shift>Click on a player name in the chat window it tells you additional information about them.
"
261,"|cffffd100Tip:|r  A blue question mark above a quest giver means the quest is repeatable. 
"
262,"|cffffd100Tip:|r Use the assist button (F key) while targeting another player, and it will target the same target as that player.
"
263,"|cffffd100Tip:|r You can use the Tab key to select nearby enemies in front of you.
"
281,|cffffd100Tip:|r <Shift>Clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.
282,|cffffd100Tip:|r When you learn a profession or secondary skill the button that allows you to perform that skill is found in the general tab of your spellbook.
321,"|cffffd100Tip:|r If you are having trouble finding something in a capital city, try asking a guard for directions.
"
341,|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!)
380,|cffffd100Tip:|r You can view messages you previously sent in chat by pressing <Alt> and the up arrow key.
381,|cffffd100Tip:|r You can Shift-Click on an item stack to split it into smaller stacks.
382,|cffffd100Tip:|r Pressing both mouse buttons simultaneously will make your character run.
383,"|cffffd100Tip:|r When replying to a tell from a player (Default 'R'), the <TAB> key cycles through people you have recently replied to."
384,|cffffd100Tip:|r You can remove a friendly spell enhancement on yourself by right-clicking on the spell effect icon.
387,|cffffd100Tip:|r A Blizzard employee will NEVER ask for your password.
388,"|cffffd100Tip:|r Clicking an item name that appears bracketed in chat will tell you more about the item.
"
389,"|cffffd100Tip:|r You can only know two professions at a time, but you can learn all of the secondary skills (fishing, cooking and first-aid)."
390,"|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window."
392,|cffffd100Tip:|r Your items do not suffer durability damage when you are killed by an enemy player.
393,"|cffffd100Tip:|r <Shift>click on a quest in your quest log to toggle quest tracking for that quest.
"
394,"|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow question mark on your mini-map.
"
396,"|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.
"
397,"|cffffd100Tip:|r The auction houses in each of your faction's major cities are linked together. 
"
398,|cffffd100Tip:|r Ensure that all party members are on the same stage of an escort quest before beginning it.
399,"|cffffd100Tip:|r Quests completed at maximum level award money instead of experience.
"
400,"|cffffd100Tip:|r If you are having trouble fishing in an area, try attaching a lure to your fishing pole."
401,|cffffd100Tip:|r Your character can eat and drink at the same time.
402,"|cffffd100Tip:|r Playing in a battleground on its holiday weekend increases your honor gained.
"
403,|cffffd100Tip:|r <Shift>-B will open all your bags at once.
404,"|cffffd100Tip:|r When interacting with other players a little kindness goes a long way! 
"
405,|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.
406,"|cffffd100Tip:|r Use the Dungeon Finder tool to quickly travel to dungeons or to find more players for your dungeon group.


"
407,"|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well.
"
409,"|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!
"
410,|cffffd100Tip:|r Never give another player your account information.
411,"|cffffd100Tip:|r Sharing an account with someone else can compromise its security.
"
412,|cffffd100Tip:|r You can turn these tips off in the Interface menu.
419,"|cffffd100Tip:|r When a player not in your group damages a monster before you do, it will display a gray health bar and you will get no loot or experience from killing it.
"
420,"|cffffd100Tip:|r You can see the spell that your current target is casting by turning on the 'Cast Bars' options in the combat interface options tab.
"
422,"|cffffd100Tip:|r You can access the map either by clicking the map button in the upper right of the mini-map or by hitting the 'M' key. The map can help you locate where you need to go to complete a quest.
"
423,"|cffffd100Tip:|r Many high level dungeons have a heroic mode setting. Heroic mode dungeons are tuned for higher level players and have improved loot.
"
424,"|cffffd100Tip:|r Spend your honor points for powerful rewards at the Champion's Hall (Alliance) or Hall of Legends (Horde).
"
425,"|cffffd100Tip:|r The honor points you earn each day become available immediately. Check the PvP interface to see how many points you have to spend.
"
426,"|cffffd100Tip:|r Dungeon meeting stones can be used to summon absent party members.  It requires two players at the stone to do a summoning.
"
427,"|cffffd100Tip:|r The Parental Controls section of the Account Management site offers tools to help you manage your play time.
"
428,"|cffffd100Tip:|r Quest items that are in the bank cannot be used to complete quests.
"
429,"|cffffd100Tip:|r A quest marked as (Failed) in the quest log can be reacquired from the quest giver.
"
430,"|cffffd100Tip:|r The number next to the quest name in your log is how many other party members are on that quest.
"
431,"|cffffd100Tip:|r You cannot advance quests other than (Raid) quests while you are in a raid group.
"
432,"|cffffd100Tip:|r You cannot cancel your bids in the auction house so bid carefully.
"
433,"|cffffd100Tip:|r To enter a chat channel, type /join [channel name] and /leave [channel name] to exit.
"
434,"|cffffd100Tip:|r Mail will be kept for a maximum of 30 days before it disappears.
"
435,"|cffffd100Tip:|r Once you get a key, they can be found in a special key ring bag that is to the left of your bags.
"
437,"|cffffd100Tip:|r City Guards will often give you directions to other locations of note in the city.
"
438,"|cffffd100Tip:|r You can repurchase items you have recently sold to a vendor from the buyback tab.
"
439,|cffffd100Tip:|r A group leader can reset their instances or change dungeon difficulty by Right Clicking on their character portrait.
440,"|cffffd100Tip:|r You can always get a new hearthstone from any innkeeper.
"
441,|cffffd100Tip:|r You can open a small map of the current zone either with Shift-M or as an option from the world map.
442,"|cffffd100Tip:|r Players cannot dodge, parry, or block attacks that come from behind them."
444,|cffffd100Tip:|r You can replace a gem that is already socketed into your item by dropping a new gem on top of it in the socketing interface.
445,"|cffffd100Tip:|r If you Right Click on a name in the combat log a list of options will appear.
"
446,|cffffd100Tip:|r You can only have one Battle Elixir and one Guardian Elixir on you at a time.
447,"|cffffd100Tip:|r When you are mousing over an item, you can hold down the shift key and it will also show you the item of that type you have equipped.
"
448,"|cffffd100Tip:|r You can have up to 10 characters per realm, with a maximum of 50 characters total across all realms. "
449,"|cffffd100Tip:|r You can reuse text that you have recently typed. Press Enter, then use <Alt> + Up Arrow to scroll through your previous messages. "
450,|cffffd100Tip:|r Your mounts and non-combat companions can be accessed from the Pets tab on your character page.
451,"|cffffd100Tip:|r Currencies, such as the ones collected from Battlegrounds or Heroic dungeons, are stored in the Currency Page."
452,|cffffd100Tip:|r Some vehicles can carry multiple passengers.
453,|cffffd100Tip:|r Flying mounts can be used in Outland once you attain the appropriate skill level of Riding and in Northrend after training Cold Weather Flying.
454,|cffffd100Tip:|r Completing some Achievements may grant unique non-combat items as rewards.
455,|cffffd100Tip:|r Items with bonus spell power improve both spell damage and healing.
456,"|cffffd100Tip:|r Dealing damage, healing or casting spells can generate Threat against a creature.  Most creatures will attack the player with the highest Threat against them."
457,|cffffd100Tip:|r Creatures four levels above you can hit you with a Crushing Blow for extra damage.
458,"|cffffd100Tip:|r Statistics track some interesting numbers related to your character, such as total food eaten and highest critical hit."
459,"|cffffd100Tip:|r You can have your hair cut, colored or styled in a Barber Shop located in many cities."
460,|cffffd100Tip:|r Recruiting a friend to World of Warcraft can provide rewards for both of you.
461,|cffffd100Tip:|r You can compare your Achievements to those of another player.
462,|cffffd100Tip:|r You can set a Focus Frame by Right Clicking on a unit frame.  You can unlock a Focus Frame to move it anywhere around your screen.
463,"|cffffd100Tip:|r You can set an option to cast spells on yourself or on your Focus target by looking in Interface Options, Combat."
