ID,Name_Lang_enUS
2,Jeweler's Gems
3,Healthstone
4,Mana Gem
6,Stormjewel
7,Enchanted Pearl
8,Binding Light
9,Binding Stone
10,Death's Choice
11,Death's Verdict
12,Eitrigg's Oath
13,Fervor of the Frostborn
14,Fetish of Volatile Power
15,Juggernaut's Vitality
16,Reign of the Dead
17,Reign of the Unliving
18,Satrina's Impeding Scarab
19,Solace of the Defeated
20,Solace of the Fallen
21,Talisman of Volatile Power
22,Vengeance of the Forsaken
23,Victor's Call
24,Band of Callous Aggression
25,Band of Deplorable Violence
26,Band of the Traitor King
27,Band of the Twin Val'kyr
28,Band of the Violent Temperment
29,Carnivorous Band
30,Circle of the Darkmender
31,Firestorm Band
32,Firestorm Ring
33,Gormok's Band
34,Loop of the Twin Val'kyr
35,Lurid Manifestation
36,Planestalker Band
37,Planestalker Signet
38,Ring of Callous Aggression
39,Ring of Callous Aggression
40,Ring of the Darkmender
41,Ring of the Violent Temperament
42,Signet of the Traitor King
43,Test Ring Limit
44,Althor's Abacus
45,Bauble of True Blood
46,Corpse Tongue Coin
47,Deathbringer's Will
48,Dislodged Foreign Object
49,Phylactery of the Nameless Lich
50,Tiny Abomination in a Jar
51,Sindragosa's Flawless Fang
52,Abomination's Bloody Ring
53,Signet of Putrefaction
54,Cerise Coiled Ring
55,Rotface's Rupturing Ring
56,Saurfang's Cold-Forged Band
57,Seal of the Twilight Queen
58,Thrice Fanged Signet
59,Band of the Bone Colossus
60,Devium's Eternally Cold Ring
61,Seal of Many Mouths
62,Frostbrood Sapphire Ring
63,Juggernaut Band
64,Loop of the Endless Labyrinth
65,Marrowgar's Frigid Eye
66,Memory of Malygos
67,Might of Blight
68,Ring of Maddening Whispers
69,Ring of Rapid Ascent
70,Skeleton Lord's Circle
71,Valanar's Other Signet Ring
72,Incarnadine Band of Mending
73,Muradin's Spyglass
74,Sliver of Pure Ice
75,Unidentifiable Organ
76,Whispering Fanged Skull
77,Twilight Scale
78,Ring of Phased Regeneration
79,Saviana's Tribute
80,Signet of Twilight
81,Zarithrian's Offering
82,Sharpened Twilight Scale
83,Petrified Twilight Scale
84,Glowing Twilight Scale
85,Charred Twilight Scale
