ID,Name_Lang_enUS
5,of the Monkey
6,of the Eagle
7,of the Bear
8,of the Whale
9,of the Owl
10,of the Gorilla
11,of the Falcon
12,of the Boar
13,of the Wolf
14,of the Tiger
15,of Spirit
16,of Stamina
17,of Strength
18,of Agility
19,of Intellect
20,of Power
21,of Spell Power
22,of Spell Power
23,of Spell Power
24,of Spell Power
25,of Spell Power
26,of Spell Power
27,of Defense
28,of Regeneration
29,of Eluding
30,of Concentration
31,of Arcane Protection
32,of Fire Protection
33,of Frost Protection
34,of Nature Protection
35,of Shadow Protection
36,of the Sorcerer
37,of the Physician
38,of the Prophet
39,of the Invoker
40,of the Bandit
41,of the Beast
42,of the Hierophant
43,of the Soldier
44,of the Elder
45,of the Champion
46,of the Test
47,of Blocking
48,of Paladin Testing
49,of the Grove
50,of the Hunt
51,of the Mind
52,of the Crusade
53,of the Vision
54,of the Ancestor
55,of the Nightmare
56,of the Battle
57,of the Shadow
58,of the Sun
59,of the Moon
60,of the Wild
61,of Spell Power
62,of Strength
63,of Agility
64,of Power
65,of Magic
66,of the Knight
67,of the Seer
68,of the Bear
69,of the Eagle
70,of the Ancestor
71,of the Bandit
72,of the Battle
73,of the Elder
74,of the Beast
75,of the Champion
76,of the Grove
77,of the Knight
78,of the Monkey
79,of the Moon
80,of the Wild
81,of the Whale
82,of the Vision
83,of the Sun
84,of Stamina
85,of the Sorcerer
86,of the Soldier
87,of the Shadow
88,of the Foreseer
89,of the Thief
90,of the Necromancer
91,of the Marksman
92,of the Squire
93,of Restoration
94,
95,
96,
97,
98,
99,of Speed
