ID,Name_Lang_enUS,Description_Lang_enUS
1,Wailing Caverns,
2,Scholomance,
4,Ragefire Chasm,
6,Deadmines,
8,Shadowfang Keep,
10,Blackfathom Deeps,
12,Stormwind Stockade,
14,Gnomeregan,
16,Razorfen Kraul,
18,Scarlet Monastery - Graveyard,
20,Razorfen Downs,
22,Uldaman,
24,Zul'Farrak,
26,Maraudon - Orange Crystals,
28,Sunken Temple,
30,Blackrock Depths - Prison,
32,Lower Blackrock Spire,
34,Dire Maul - East,
36,Dire Maul - West,
38,Dire Maul - North,
40,Stratholme - Main Gate,
42,Zul'Gurub,
44,Upper Blackrock Spire,
46,Onyxia's Lair,
48,Molten Core,
50,Blackwing Lair,
58,Elwynn Forest,
60,Westfall,
62,Duskwood,
64,Dun Morogh,
66,Loch Modan,
68,Wetlands,
70,Stranglethorn Vale,
72,Blasted Lands,
74,Swamp of Sorrows,
76,Redridge Mountains,
78,Burning Steppes,
80,Searing Gorge,
82,Badlands,
84,Arathi Highlands,
86,Hillsbrad Foothills,
88,Hinterlands,
90,Western Plaguelands,
92,Eastern Plaguelands,
94,Tirisfal Glades,
96,Silverpine Forest,
98,Alterac Mountains,
100,Durotar,
102,Mulgore,
104,The Barrens,
106,Stonetalon Mountains,
108,Thousand Needles,
110,Desolace,
112,Feralas,
114,Dustwallow Marsh,
116,Tanaris,
118,Un'Goro Crater,
120,Silithus,
122,Teldrassil,
124,Darkshore,
126,Ashenvale,
128,Felwood,
130,Azshara,
132,Winterspring,
136,Hellfire Ramparts,
137,Blood Furnace,
138,Shattered Halls,
140,Slave Pens,
146,Underbog,
147,The Steamvault,
148,Mana-Tombs,
149,Auchenai Crypts,
150,Sethekk Halls,
151,Shadow Labyrinth,
152,Hellfire Peninsula,
153,Zangarmarsh,
154,Terokkar Forest,
155,Nagrand,
156,Shadowmoon Valley,
157,Blade's Edge Mountains,
158,Netherstorm,
159,Naxxramas,
160,Ahn'Qiraj Ruins,
161,Ahn'Qiraj Temple,
163,Scarlet Monastery - Armory,
164,Scarlet Monastery - Cathedral,
165,Scarlet Monastery - Library,
166,Eversong Woods,
167,Azuremyst Isle,
168,Ghostlands,
169,Bloodmyst Isle,
170,The Escape From Durnholde,
171,The Black Morass,
172,The Mechanar,
173,The Botanica,
174,The Arcatraz,
175,Karazhan,
176,Magtheridon's Lair,
177,Gruul's Lair,
178,Auchenai Crypts,
179,Mana-Tombs,
180,Sethekk Halls,
181,Shadow Labyrinth,
182,The Black Morass,
183,The Escape From Durnholde,
184,Slave Pens,
185,The Steamvault,
186,Underbog,
187,Blood Furnace,
188,Hellfire Ramparts,
189,Shattered Halls,
190,The Arcatraz,
191,The Botanica,
192,The Mechanar,
193,Tempest Keep,
194,Serpentshrine Cavern,
195,Hyjal Past,
196,Black Temple,
197,Zul'Aman,
198,Magisters' Terrace,
199,The Sunwell,
200,Isle of Quel'Danas,
201,Magisters' Terrace,
202,Utgarde Keep,
203,Utgarde Pinnacle,
204,Azjol-Nerub,
205,Utgarde Pinnacle,
206,The Oculus,
207,Halls of Lightning,
208,Halls of Stone,
209,The Culling of Stratholme,
210,The Culling of Stratholme,
211,The Oculus,
212,Halls of Lightning,
213,Halls of Stone,
214,Drak'Tharon Keep,
215,Drak'Tharon Keep,
216,Gundrak,
217,Gundrak,
218,Ahn'kahet: The Old Kingdom,
219,Ahn'kahet: The Old Kingdom,
220,Violet Hold,
221,Violet Hold,
223,The Eye of Eternity,
224,The Obsidian Sanctum,
225,The Nexus,
226,The Nexus,
227,Naxxramas,
228,Borean Tundra,
229,Howling Fjord,
230,Grizzly Hills,
231,Dragonblight,
232,Wintergrasp,
233,Zul'Drak,
234,Sholazar Basin,
235,The Storm Peaks,
236,Icecrown,
237,The Eye of Eternity,
238,The Obsidian Sanctum,
239,Vault of Archavon,
240,Vault of Archavon,
241,Azjol-Nerub,
242,Utgarde Keep,
243,Ulduar,
244,Ulduar,
245,Trial of the Champion,
246,Trial of the Crusader,
247,Trial of the Grand Crusader,
248,Trial of the Crusader,
249,Trial of the Champion,
250,Trial of the Grand Crusader,
251,The Forge of Souls,
252,The Forge of Souls,
253,Pit of Saron,
254,Pit of Saron,
255,Halls of Reflection,
256,Halls of Reflection,
257,Onyxia's Lair,
258,Random Classic Dungeon,
259,Random Burning Crusade Dungeon,
260,Random Burning Crusade Heroic,
261,Random Lich King Dungeon,
262,Random Lich King Heroic,
272,Maraudon - Purple Crystals,
273,Maraudon - Pristine Waters,
274,Stratholme - Service Entrance,
276,Blackrock Depths - Upper City,
279,Icecrown Citadel,
280,Icecrown Citadel,
285,The Headless Horseman,Defeat the mad Headless Horseman before he burns down every last settlement in Azeroth.
286,The Frost Lord Ahune,"Defeat Ahune, the Frost Lord, before he fully manifests in Azeroth and puts an end to Summer forever."
287,Coren Direbrew,Defeat the jealous Coren Direbrew to stop his incessant attacks upon the Brewfest festivities.
288,The Crown Chemical Co.,"Defeat the insidious undead apothecaries of the Crown Chemical Co. before they unleash their newest, horrific plague."
293,Ruby Sanctum,
294,Ruby Sanctum,
