ID,Message_Lang_enUS
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,You must be level 80 and in a raid group to enter.
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,You must be level 80 and in a raid group to enter.
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,You must be at least level 65 to enter.
75,
76,You must be at least level 66 to enter.
77,You must be at least level 75 to enter.
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,You must be at least level 75 to enter.
92,
93,
94,
95,You must be at least level 72 to enter.
96,You must be at least level 69 to enter.
97,You must be at least level 67 to enter.
98,You must be at least level 75 to enter.
99,You must be level 80 and in a raid group to enter.
100,You must be at least level 71 to enter.
101,
102,
103,
104,You must be at least level 70 to enter.
105,
106,
107,
108,
109,
110,You must be level 80 and in a raid group to enter.
111,You must be at least level 80 and in a raid group to enter.
112,
113,
114,You must be at least level 68 to enter.
115,
116,
117,
118,
119,"You must be at least level 80, in control of Wintergrasp and in a raid group to enter."
120,
121,
122,
123,
124,You must be at least level 80 and in a raid group to enter.
125,You must be at least level 75 to enter.
126,
127,Heroic Difficulty requires the Key of Time.
128,You must be level 80 and in a raid group to enter.
129,Heroic Difficulty requires the Flamewrought Key.
130,Heroic Difficulty requires the Flamewrought Key.
131,Heroic Difficulty requires the Flamewrought Key.
132,Heroic Difficulty requires the Reservoir Key.
133,Heroic Difficulty requires the Reservoir Key.
134,Heroic Difficulty requires the Reservoir Key.
135,Heroic Difficulty requires the Warpforged Key.
136,Heroic Difficulty requires the Warpforged Key.
137,Heroic Difficulty requires the Warpforged Key.
138,Heroic Difficulty requires the Auchenai Key.
139,Heroic Difficulty requires the Auchenai Key.
140,Heroic Difficulty requires the Auchenai Key.
141,Heroic Difficulty requires the Auchenai Key.
142,Heroic Difficulty requires the Key of Time.
143,Heroic Difficulty requires you to be level 80.
144,Heroic Difficulty requires you to be level 80.
145,Heroic Difficulty requires you to be level 80.
146,Heroic Difficulty requires you to be level 80.
147,"Heroic Difficulty requires completion of the ""Hard to Kill"" quest."
148,Heroic Difficulty requires you to be level 80.
149,Heroic Difficulty requires the Sunforged Key[PH].
150,Heroic Difficulty requires you to be level 80.
151,Heroic Difficulty requires you to be level 80.
152,Heroic Difficulty requires you to be level 80.
153,Heroic Difficulty requires you to be level 80.
154,You must be level 80 and in a raid group to enter.
155,Heroic Difficulty requires you to be level 80.
156,Heroic Difficulty requires you to be level 80.
157,You must be level 80 and in a raid group to enter.
158,You must be at least level 80 and in a raid group to enter.
159,Heroic Difficulty requires you to be level 80.
160,"You must be at least level 80, in control of Wintergrasp and in a raid group to enter."
161,You must be at least level 80 and in a raid group to enter.
162,Heroic Difficulty requires you to be level 80.
163,
221,You must be at least level 80 and in a raid group to enter.
222,You must be at least level 80 and in a raid group to enter.
281,
301,
323,You must be level 80 and in a raid group to enter.
341,"You must complete the quest ""Deliverance from the Pit"" before entering the Halls of Reflection."
342,"You must complete the quest ""Deliverance from the Pit"" and be level 80 before entering the Heroic difficulty of the Halls of Reflection."
481,You must be at least level 75 to enter.
482,Heroic Difficulty requires you to be level 80.
483,"You must complete the quest ""Echoes of Tortured Souls"" before entering the Pit of Saron."
484,"You must complete the quest ""Echoes of Tortured Souls"" and be level 80 before entering the Heroic difficulty of the Pit of Saron."
485,You must be at least level 80 and in a raid group to enter.
486,You must be at least level 80 and in a raid group to enter.
487,You must have defeated The Lich King in the 10 Player raid before attempting 10 Player Heroic difficulty.
488,You must have defeated The Lich King in the 25 Player raid before attempting 25 Player Heroic difficulty.
522,
641,
642,
701,
744,
750,You must be level 80 and in a raid group to enter.
751,You must be level 80 and in a raid group to enter.
752,You must be level 80 and in a raid group to enter.
753,You must be level 80 and in a raid group to enter.
