ID,Name_Lang_enUS
1,Cat Form
2,Tree of Life Form
3,Travel Form
4,Aquatic Form
5,Bear Form
6,Ambient
7,Ghoul
8,Dire Bear Form
9,Steve's Ghoul
10,Tharon'ja Skeleton
11,Darkmoon - Test of Strength
12,BLB Player
13,Shadow Dance
14,Creature - Bear
15,Creature - Cat
16,Ghost Wolf
17,Battle Stance
18,Defensive Stance
19,Berserker Stance
20,Test
21,Zombie
22,Metamorphosis
23,
24,
25,Undead
26,Frenzy
27,"Flight Form, Epic"
28,Shadowform
29,Flight Form
30,Stealth
31,Moonkin Form
32,Spirit of Redemption
