ID,String_Lang_enUS,Tooltip_Lang_enUS,DynamicTooltip_Lang_enUS
2,%1581w/%1601w,Alliance flag captures,Horde flag has been picked up
3,%1582w/%1601w,Horde flag captures,Alliance flag has been picked up
42,Flag Captures,Number of times you have captured the enemy flag,
44,Flag Returns,Number of times you have returned your flag to your base from the field,
61,Towers Assaulted,Number of times enemy tower banners have been removed,
63,Graveyards Assaulted,Number of times enemy graveyard banners have been removed,
64,Towers Defended,Number of times a tower capture has been prevented,
65,Graveyards Defended,Number of times a graveyard capture has been prevented,
82,Secondary Objectives,Number of secondary units activated,
101,Bases: %1779w  Resources: %1776w/%1780w,Alliance status,
102,Bases: %1778w  Resources: %1777w/%1780w,Horde status,
122,Bases Assaulted,Number of times enemy base banners have been removed,
123,Bases Defended,Number of times a base capture has been prevented,
126,%2313w/%2317w,Alliance Silithyst Collected,
127,%2314w/%2317w,Horde Silithyst Collected,
136,Controlled: %2327w,Alliance Towers Controlled,
137,Controlled: %2328w,Horde Towers Controlled,
138,Progress: %2427w,,
139,Progress: %2427w,,
140,Controlled: %2476w,Alliance Forts Controlled,Last Winner: Alliance
141,Controlled: %2478w,Horde Forts Controlled,Last Winner: Horde
142,Invading Enemies = %2454w,Number of Invading Enemies in the Horde Base,
143,Invading Enemies = %2454w,Number of Invading Enemies in the Horde Base,
144,Guards Remaining: %2491w/%2493w,,
145,Progress: %2494w,,
146,Guards Remaining: %2491w/%2493w,,
147,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,
148,,,
149,,,
150,Medivh's Shield Remaining: %2540w%,,
151,Green Team: %3600w Players Remaining,,
152,Gold Team: %3601w Players Remaining,,
153,West Beacon,Alliance Controlled Beacon,
154,West Beacon,Horde Controlled Beacon,
155,West Beacon,Neutral Controlled Beacon,
156,East Beacon,Alliance Controlled Beacon,
157,East Beacon,Horde Controlled Beacon,
158,East Beacon,Neutral Controlled Beacon,
159,Gold Team: %3601w Players Remaining,,
160,Green Team: %3600w Players Remaining,,
161,Towers Controlled: %2621w,Alliance Towers Controlled,
162,Towers Controlled: %2622w,Horde Towers Controlled,
163,,,
164,,,
165,Incendiary Bombs Set = %2436w/5,Number of Incendiary Bombs Placed in Durnholde,
166,Bases: %2752w  Victory Points: %2749w/1600,,
167,Bases: %2753w  Victory Points: %2750w/1600,,
168,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,
169,Time Remaining - %2509w:%2512w%2510w,Time remaining until the Spirit Towers become capturable.,
171,Time Rifts Opened: %2784w/18,,
172,Current Wave = %2842w of 8,Current Wave,
173,North Warp-Gate: %2880w%,,
174,South Warp-Gate: %2881w%,,
175,Gold Team: %3601w Players Remaining,,
176,Green Team: %3600w Players Remaining,,
177,Shield Remaining: %3054w%,Percentage of the shield remaining.,
178,%3082w / 12 Marksmen Remaining,Number of Theramore defenders still alive.,
179,Time Until Sacrifice: %3106w Min,Time remaining until prisoners are killed.,
180,Reinforcements: %3127w,Alliance Reinforcements,
181,Reinforcements: %3128w,Horde Reinforcements,
183,Flag Captures,Number of times you have captured the flag,
184,Progress: %3467w,,
185,Plagued Crates Revealed = %3480w/5,Number of plagued grain crates revealed.,
186,Progress: %2427w,,
187,Scourge Wave = %3504w/10,Number of Scourge waves encountered.,
188,Vehicles: %3490w/%3491w,Horde status,
189,Vehicles: %3680w/%3681w,Alliance status,
190,Centrifuge Constructs: %3486w Remaining,,
191,Progress: %3537w,,
192,Attacker,Alliance status,
193,Defender,Horde status,
194,End of Round: %3559w:%3560w%3561w,Round ends after this duration,
196,Defender,Alliance status,
197,Attacker,Horde status,
198,Bonus Time: %3559w:%3560w%3561w,Time left for bonus points,
199,End of Round: %3559w:%3560w%3561w,Round ends after this duration,
